sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC
Rhap_D0006-65,"vraiment, la psychiatrie, il faut ",ê~,", il faut être… ",8,ê~,ê~,VERB,CCOMP,_,7,ccomp,_,Scrap=Yes|SpaceAfter=No
Rhap_D0006-73,n',importe, qui pourrait pas être chirurgien. ,2,importe,importer,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,1,fixed,_,InIdiom=Yes
Rhap_D0006-80,n',importe, quand. ,2,importe,importer,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,1,fixed,_,InIdiom=Yes
Rhap_D0006-80bis,n',importe, quelle heure. ,2,importe,importer,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,1,fixed,_,InIdiom=Yes
Rhap_D0006-81,n',importe, quand. ,2,importe,importer,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,1,fixed,_,InIdiom=Yes
Rhap_D0006-81bis,n',importe, quelle heure. ,2,importe,importer,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,1,fixed,_,InIdiom=Yes
Rhap_M2006-4,trois policiers ,blessés,. ,3,blessés,blesser,VERB,_,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,2,acl,_,SpaceAfter=No
Rhap_M2006-23,"alors, passons maintenant au détail des mesures ",discutées, et aux attentes des syndicats et du patronat. ,11,discutées,discuter,VERB,_,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,10,acl,_,_
Rhap_M2006-37,vous y étiez il y ,a, pas longtemps. ,6,a,avoir,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,4,fixed,_,InIdiom=Yes
Rhap_D1003-10,parce que j'ai ,démé~,", déménagé neuf fois dans ma vie. ",5,démé~,démé~,VERB,_,_,7,reparandum,_,SpaceAfter=No
Rhap_D1003-33,"donc, euh, j'avais qu'un souhait, c'était ",re~,", de revenir en France. ",13,re~,re~,VERB,_,_,16,reparandum,_,SpaceAfter=No
Rhap_D1003-37,"et c'est ensuite, quand je suis ",partie,", partie en, en première L que je me suis rendu compte qu'en fait, c'était un, un, un, un super, enfin, une super expérience. ",9,partie,partir,VERB,ETRE,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,11,reparandum,_,SpaceAfter=No
Rhap_D0009-31,"parce que dessus, il y avait des, c'est pas des coussins, c'était des, des carrés de laine ",tissés, qu'on avait eus en Tunisie et qui avaient été mis dessus. ,24,tissés,tisser,VERB,_,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,21,acl,_,_
Rhap_D0009-93,"est-ce que c'est, est-ce que c'est moi qui p~, est-ce que je peux ",sau~,", lui amener le tissu ? ",21,sau~,sau~,VERB,_,_,24,reparandum,_,SpaceAfter=No
Rhap_M0007-3,vous allez ,arriver,. ,3,arriver,arriver,VERB,ETRE,VerbForm=Inf,2,xcomp,_,SpaceAfter=No|Subject=SubjRaising
Rhap_D2007-89,vous allez ,changer, tout à l'heure. ,3,changer,changer,VERB,_,VerbForm=Inf,2,xcomp,_,Overlap=Rhap_D2007-88|Subject=SubjRaising
Rhap_D2005-59,il se trouve qu'à ,partir," de la Math Elem, je me suis trouvé très bon en maths. ",6,partir,partir,VERB,ETRE,VerbForm=Inf,5,fixed,_,InIdiom=Yes
Rhap_D0003-11,il y avait cet endroit à Paris où on pouvait ,arriver,. ,11,arriver,arriver,VERB,ETRE,VerbForm=Inf,10,xcomp,_,SpaceAfter=No|Subject=SubjRaising
Rhap_D0003-16,"après le bombardement anglais, mon, mon père a dit, bon, il f~, il faut ",partir,", il faut… ",20,partir,partir,VERB,ETRE,VerbForm=Inf,23,reparandum,_,SpaceAfter=No|Subject=NoRaising
Rhap_D0002-6,"mais, je veux ",dire,", ils ont travaillé normalement. ",5,dire,dire,VERB,_,VerbForm=Inf,4,xcomp,_,SpaceAfter=No|Subject=SubjRaising
Rhap_D0002-7,"et c'est vrai que, bon, habitant dans le centre de Paris, euh, les écoles sont de très bon niveau, hein, je veux ",dire,. ,30,dire,dire,VERB,_,VerbForm=Inf,29,xcomp,_,Overlap=Rhap_D0002-7bis|SpaceAfter=No|Subject=SubjRaising
Rhap_D0002-37,"hein, je veux ",dire,", ça, c'est un, c'est une des , des , c'est une des mesures du plan banlieue le busing. ",5,dire,dire,VERB,_,VerbForm=Inf,4,xcomp,_,Overlap=Rhap_D0002-37bis|SpaceAfter=No|Subject=SubjRaising
Rhap_M1003-6,"alors, ce que je souhaiterais faire de ma vie, c'est devenir professeur d'italien à ",savoir," certifié, donc, euh, enseigner au collège ainsi qu'au lycée. ",19,savoir,savoir,VERB,_,VerbForm=Inf,18,fixed,_,InIdiom=Yes
Rhap_M1003-21,"parce qu'on remarque, euh, ass~, euh, de façon, euh, on remarque bien que le salaire n'est ni en adéquation avec le nombre d'années, euh, avec le nombre d'études ",suivies,", ni avec le travail à fournir, personnel que l'on fournit. ",41,suivies,suivre,VERB,_,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,40,acl,_,SpaceAfter=No
Rhap_M1003-23,à ,savoir,", euh, donc, euh, je suis dynamique, consciencieuse, euh, persévérante, objective et juste. ",2,savoir,savoir,VERB,_,VerbForm=Inf,1,fixed,_,InIdiom=Yes|SpaceAfter=No
Rhap_M1003-32,"ce qui permet, euh, d'avoir une vie ",privée, agréable et de construire également une famille. ,11,privée,priver,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,10,acl,_,_
Rhap_M1003-41,ce n'était pas le cas il y ,a, plusieurs années. ,9,a,avoir,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,7,fixed,_,InIdiom=Yes
Rhap_D2011-7,,voilà, c'est ça qui est incroyable effectivement. ,1,voilà,voilà,VERB,_,_,4,discourse,_,Overlap=Rhap_D2011-6
Rhap_D2011-62,"grâce au rayonnement à infra rouge, la boule magique accroît le mouvement moléculaire de l'eau, et renforce, donc, son pouvoir ",nettoyant,. ,27,nettoyant,nettoyer,VERB,_,Tense=Pres|VerbForm=Part,26,acl,_,SpaceAfter=No
Rhap_D2010-54,"et, et le Barrage contre le Pacifique, ils l'ont laissé ",tomber,. ,14,tomber,tomber,VERB,ETRE,VerbForm=Inf,13,xcomp,_,SpaceAfter=No|Subject=SubjRaising
Rhap_D2010-84,et on peut ,dire,… ,4,dire,dire,VERB,_,VerbForm=Inf,3,xcomp,_,SpaceAfter=No|Subject=SubjRaising
Rhap_D2010-96,"ah, oui, non, de toute façon, il y ",a," bien longtemps qu'elles sont dans les musées, hein. ",13,a,avoir,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,11,fixed,_,InIdiom=Yes
Rhap_D2008-7,"rappelons, euh, qu'il y ",a," moins d'une semaine, le numéro deux de l'organisation mondiale de la santé estimait qu'un tiers de la population mondiale pourrait être contaminé. ",8,a,avoir,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,6,fixed,_,InIdiom=Yes
Rhap_D2008-24,"voilà, est-ce que vous maintenez vos prévisions, si je puis ",dire, ? ,14,dire,dire,VERB,_,VerbForm=Inf,13,xcomp,_,Subject=SubjRaising
Rhap_D2008-35,mais on a quand même de l'expérience de trois pandémies ,passées,. ,12,passées,passer,VERB,ETRE,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,11,acl,_,SpaceAfter=No
Rhap_D2008-37,"alors, il est possible que dans le vingt-et-unième siècle, dans certains pays mieux dotés que d'autres, on puisse freiner, ",arrêter,", atténuer la vague. ",25,arrêter,arrêter,VERB,_,VerbForm=Inf,27,reparandum,_,SpaceAfter=No|Subject=SubjRaising
Rhap_D2008-38,"mais si elle se déroule de façon, je dirais, euh, un peu comme dans les, les fois ",passées,", c'est les scénarios que l'on peut imaginer. ",22,passées,passer,VERB,ETRE,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,21,acl,_,SpaceAfter=No
Rhap_D2008-41,"ce, ce chiffre de trente mille, c'est finalement une extrapolation que vous faites, mais à partir de scénarios ",passés,", entre guillemets, raisonnables, mais en tenant compte de ce qu'on a pu faire ou surtout de ce qu'on n'a pas pu faire. ",23,passés,passer,VERB,ETRE,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,22,acl,_,SpaceAfter=No
Rhap_D2008-41,"ce, ce chiffre de trente mille, c'est finalement une extrapolation que vous faites, mais à ",partir," de scénarios passés, entre guillemets, raisonnables, mais en tenant compte de ce qu'on a pu faire ou surtout de ce qu'on n'a pas pu faire. ",20,partir,partir,VERB,ETRE,VerbForm=Inf,19,fixed,_,InIdiom=Yes
Rhap_D2008-46,"mais dans le fond, quand on veut prédire un cyclone, au jour d'aujourd'hui, on se rapporte au catalogue des cyclones ",passés,. ,28,passés,passer,VERB,ETRE,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,27,acl,_,SpaceAfter=No
Rhap_D2008-63,"pardonnez-moi, si ça, c'était, on va ",dire,", une des estimations à, euh, potentiel raisonnable, le, le, l'estimation inquiétante, c'est quoi ? ",12,dire,dire,VERB,_,VerbForm=Inf,11,xcomp,_,SpaceAfter=No|Subject=SubjRaising
Rhap_D2008-83,"enfin, dans cette projection, euh, est-ce qu'il y a une limite de date, si je puis ",dire, ? ,23,dire,dire,VERB,_,VerbForm=Inf,22,xcomp,_,Subject=SubjRaising
Rhap_D2008-86,"est-ce que vous vous êtes fixé aussi un cadre, si je puis ",dire,", dans la durée du , du , du scénario et donc du film en quelque sorte ? ",15,dire,dire,VERB,_,VerbForm=Inf,14,xcomp,_,SpaceAfter=No|Subject=SubjRaising
Rhap_D2008-89,"par exemple, notre, notre ministre de la santé, Roselyne Bachelot, elle a géré cette crise, on va ",dire,", au minimum en trois temps en termes de communication perçue par XXX. ",23,dire,dire,VERB,_,VerbForm=Inf,22,xcomp,_,SpaceAfter=No|Subject=SubjRaising
Rhap_D2008-114,on va donc avoir nos regards braqués sur l'hémisphère sud et notamment sur les pays de la zone ,tempérée, de l'hémisphère sud dans les mois à venir. ,20,tempérée,tempérer,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,19,acl,_,_
Rhap_D2008-136,elle s'est ,ren~,", répandue assez rapidement quand même aux États-Unis, au Canada, en, en Grande-Bretagne, au , au Royaume-Uni. ",4,ren~,ren~,VERB,_,_,6,reparandum,_,SpaceAfter=No
Rhap_D2008-143,"on sera monté jusqu'au niveau cinq, euh, d'une échelle qui en compte six en ce qui concerne bien ",entendu," les niveaux d'alerte, euh. ",24,entendu,entendre,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,23,fixed,_,InIdiom=Yes
Rhap_D2001-28,"et est-ce que c'est avec ces yeux, si vous voulez dire que je sais ",regarder, ? ,18,regarder,regarder,VERB,_,VerbForm=Inf,17,xcomp,_,Subject=SubjRaising
Rhap_D2001-28,"et est-ce que c'est avec ces yeux, si vous voulez ",dire, que je sais regarder ? ,14,dire,dire,VERB,_,VerbForm=Inf,13,xcomp,_,Subject=SubjRaising
Rhap_D2001-29,je crois que je sais ,regarder,. ,6,regarder,regarder,VERB,_,VerbForm=Inf,5,xcomp,_,SpaceAfter=No|Subject=SubjRaising
Rhap_D2001-30,"mais je crois que j'ai toujours, oui, ",eu,", eu cette, cette, disons, cette faculté. ",11,eu,avoir,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,13,reparandum,_,SpaceAfter=No
Rhap_D2001-38,"et, mais ensuite, j'ai toujours été étonnée de voir que les gens ne voyaient pas des choses qui me paraissaient évidentes dans le comportement des autres, je veux ",dire,. ,34,dire,dire,VERB,_,VerbForm=Inf,33,xcomp,_,SpaceAfter=No|Subject=SubjRaising
Rhap_D2001-42,ou est-ce simplement la réussite qui devait ,venir, ? ,9,venir,venir,VERB,_,VerbForm=Inf,8,xcomp,_,Subject=SubjRaising
Rhap_D2001-49,"euh, disons que, si mon père était mort, enfin, si les circonstances ",disons," qui m'ont conduit à être obligée de gagner ma vie très tôt s'étaient produites sensiblement plus tard, je ne sais pas moi, quand j'avais vingt ans ou vingt-deux ans, eh bien. ",3,disons,dire,VERB,_,Mood=Imp|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin,0,root,_,_
Rhap_D2001-70,il a fallu ,travailler,. ,4,travailler,travailler,VERB,DoubleAux,VerbForm=Inf,3,ccomp,_,Overlap=Rhap_D2001-70bis|SpaceAfter=No|Subject=NoRaising
Rhap_D2001-114,"j'ai dit, ben, oui, mais en ",attendant,", je paie mon loyer, enfin, pas mon loyer. ",11,attendant,attendre,VERB,_,Tense=Pres|VerbForm=Part,10,fixed,_,InIdiom=Yes|SpaceAfter=No
Rhap_D2001-141,car vous avez ,travaillé,", travaillé directement avec lui. ",4,travaillé,travailler,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,6,reparandum,_,SpaceAfter=No
Rhap_D2001-143,"et nous, nous, nous avons eu beaucoup d'amitié l'un pour l'autre à, pendant La Grande Illusion pour des raisons que j'",ai,", j'ai déjà dites une fois. ",28,ai,avoir,VERB,_,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin,27,dep,_,Scrap=Yes|SpaceAfter=No
