sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
annodis.er_00020,"Cette exposition, comme devait ",conclure," Roger Thiriot, """"n'a d'autre ambition que d'apporter un modeste témoignage sur le passé du tissu économique de la région. ",6,conclure,conclure,VERB,_,VerbForm=Inf,5,xcomp,_,Subject=SubjRaising,1
annodis.er_00026,"Après avoir coupé le ruban qui en marque symboliquement l'entrée, le maire et la directrice ont conduit la visite ",commentée, des locaux. ,22,commentée,commenter,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,21,acl,_,_,1
annodis.er_00028,"Elle occupait depuis cette date, un bâtiment ",préfabriqué, dans le parc Verneau. ,9,préfabriqué,préfabriquer,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,8,acl,_,_,2
annodis.er_00036,"L'inspecteur d'académie a remercié la municipalité d'avoir mené à bien son projet en ayant associé les différentes parties intéressées : enseignants, parents, pour la conception des locaux et la qualité des matériaux ",utilisés,. ,40,utilisés,utiliser,VERB,_,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,39,acl,_,SpaceAfter=No,-1
annodis.er_00057,"L'équipe B, chez les seniors, évoluera à ",partir," de 15h, sur la pelouse du terrain d'honneur, face à la formation de Laneuville. ",11,partir,partir,VERB,_,VerbForm=Inf,10,fixed,_,InIdiom=Yes|Subject=Generic,1
annodis.er_00067,"Une sortie nautique d'entraînement est organisée aujourd'hui, à ",partir," de 9h, pour les rameurs du club. ",11,partir,partir,VERB,_,VerbForm=Inf,10,fixed,_,InIdiom=Yes|Subject=Generic,1
annodis.er_00079,"Guy affectionnait beaucoup le jardinage, loisir partagé avec Denise, son épouse, qu'il a eu la douleur de perdre il y ",a, quinze jours. ,17,a,avoir,AUX,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,18,aux:tense,_,_,1
annodis.er_00133,Les jeunes ,intéressés, peuvent s'inscrire dès maintenant. ,3,intéressés,intéresser,VERB,_,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,2,acl,_,_,-1
annodis.er_00145,Leur plus belle récompense fut sans aucun doute les applaudissements ,nourris, du public. ,11,nourris,nourrir,VERB,_,Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,10,acl,_,_,1
annodis.er_00172,"à la maison, ses seuls plaisirs étaient de regarder les émissions de jeux à la télévision et de faire les mots ",mêlés,", un exercice de mémoire qu'elle affectionnait. ",23,mêlés,mêler,VERB,_,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,22,acl,_,SpaceAfter=No,2
annodis.er_00197,"à titre de rappel : nos chers bambins sont toujours dans le noir, sans salle d'attente ",chauffée,", sans toilettes et sans lumière. ",19,chauffée,chauffer,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,16,acl,_,SpaceAfter=No,1
annodis.er_00232,Rixe à Montbéliard : un Belfortain ivre ,interpellé,. ,8,interpellé,interpeller,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,6,acl,_,SpaceAfter=No,-1
annodis.er_00241,Pour ce qui ,est," de la bagarre, l'enquête de police se poursuit afin de savoir qui a fait quoi. ",4,est,être,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,1,fixed,_,InIdiom=Yes,-1
annodis.er_00284,"Il rappelle néanmoins un certain nombre d'actions entreprises par le gouvernement, et plus particulièrement la mise en place du groupe de travail, réuni pour la première fois il y ",a, quelques jours. ,34,a,avoir,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,32,fixed,_,InIdiom=Yes,1
annodis.er_00285,"Lionel Jospin note que la mission de ce groupe est """"de ne pas méconnaître les justes revendications des autres orphelins de victimes du nazisme"""" et de """"trouver collectivement la meilleure façon de faire reconnaître par la Nation l'ampleur des souffrances ",subies,. ,48,subies,subir,VERB,_,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,47,acl,_,SpaceAfter=No,-1
annodis.er_00349,Les travaux de la table ronde ivoirienne suivent le calendrier ,prévu," et pourraient se terminer avant la date butoir du 24 janvier, a indiqué le porte-parole du Quai d'Orsay. ",11,prévu,prévoir,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,10,acl,_,_,1
annodis.er_00378,"Une jeune fille de 25 ans hébergée chez des parents à Courcelles-lès-Montbéliard, était signalée ",disparue,. ,16,disparue,disparaître,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,15,xcomp,_,SpaceAfter=No|Subject=SubjRaising,-1
annodis.er_00447,La commission d'appel d'offres pour la transformation de l'atelier artisanal des Triboulottes en salle polyvalente s'est réunie récemment pour prendre connaissance des offres ,reçues,. ,30,reçues,recevoir,VERB,_,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,29,acl,_,SpaceAfter=No,-1
annodis.er_00471,Il y ,a," trois semaines, l'Uruguayen envisageait de quitter le club. ",3,a,avoir,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,1,fixed,_,InIdiom=Yes,-1
annodis.er_00498,Les trois adolescents entendaient organiser un barbecue dans les bois mais n'ayant pas trouvé les saucisses ,voulues," à Bethoncourt, ils avaient décidé de """"réquisitionner"""" une voiture pour partir à la quête des victuailles. ",18,voulues,vouloir,VERB,_,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,17,acl,_,_,1
annodis.er_00500,"Le passager avant de la voiture en a également profité pour voler l'argent que contenait le porte-monnaie du propriétaire du véhicule, à ",savoir,... 30 F. ,27,savoir,savoir,VERB,_,VerbForm=Inf,26,fixed,_,InIdiom=Yes|SpaceAfter=No|Subject=Generic,0
annodis.er_00502,Le temps de digérer cette expédition ,forcée, et le jeune Belfortain a décidé d'aller porter plainte à la brigade de gendarmerie de Bethoncourt. ,7,forcée,forcer,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,6,acl,_,_,1
emea-fr-dev_00051,"Chez les patients subissant un ICP, Angiox s'est montré aussi efficace que l'héparine pour toutes les mesures, excepté en ce qui ",concerne," le saignement majeur, pour lequel il s'est révélé nettement meilleur (niveau de saignement inférieur) que l'héparine. ",26,concerne,concerner,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,23,fixed,_,InIdiom=Yes,1
emea-fr-dev_00104,"Pour les patients atteints d'un SCA, la dose initiale ",recommandée," est un bolus intraveineux de 0,1 mg/kg suivi d'une perfusion de 0,25 mg/kg/h. ",12,recommandée,recommander,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,10,acl,_,_,2
emea-fr-dev_00119,Le temps de coagulation ,activée, (ACT) peut être utilisé pour évaluer l'activité de la bivalirudine. ,5,activée,activer,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,4,acl,_,_,1
emea-fr-dev_00128,Le bolus ,administré, devra être conforme à la posologie SCA ou ICP décrite ci-dessous. ,3,administré,administrer,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,2,acl,_,_,1
emea-fr-dev_00148,présentant une hypersensibilité ,connue," à la bivalirudine ou à l'un des excipients du produit, ou aux hirudines ; ",4,connue,connaître,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,3,acl,_,_,1
emea-fr-dev_00149,présentant un saignement actif ou un risque ,accru, de saignement en raison de troubles de l'hémostase et/ou de troubles irréversibles de la coagulation ; ,8,accru,accroître,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,7,acl,_,_,1
emea-fr-dev_00157,"Bien que la plupart des saignements associés à la bivalirudine se produisent au site d'accès artériel chez les patients qui subissent une ICP, une hémorragie peut se produire à n'",importe, quel endroit pendant le traitement. ,35,importe,importer,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,34,fixed,_,InIdiom=Yes,1
emea-fr-dev_00160,Il n'existe pas d'antidote ,connu," pour la bivalirudine, mais son effet disparaît rapidement (T½ 35 à 40 minutes). ",7,connu,connaître,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,6,acl,_,_,2
emea-fr-dev_00177,"Du fait de leur mécanisme d'action, on peut s'attendre à ce que l'utilisation ",combinée," de médicaments anticoagulants (héparine, warfarine, antithrombotiques ou agents antiplaquettaires) augmente le risque de saignement. ",19,combinée,combiner,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,18,acl,_,_,1
emea-fr-dev_00181,Les études animales ne sont pas concluantes pour ce qui ,est," des effets délétères sur la gestation, le développement embryonnaire ou foetal, l'accouchement ou le développement post-natal (voir rubrique 5.3). ",11,est,être,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,8,fixed,_,InIdiom=Yes,1
emea-fr-dev_00198,Les saignements mineurs ont été définis comme étant tous événements hémorragiques ,observés, qui ne répondaient pas aux critères des saignements majeurs. ,12,observés,observer,VERB,_,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,10,acl,_,_,1
emea-fr-dev_00254,"Un saignement majeur a été défini comme étant la survenue de l'un des éléments suivants : hémorragie intracrânienne, hémorragie rétropéritonéale, perte de sang nécessitant la transfusion d'au moins deux unités de sang complet ou d'hématies concentrées, ou saignement se traduisant par une chute de l'hémoglobine de plus de 3 g/dl ou une chute de l'hémoglobine supérieure à 4 g/dl (ou 12% de l'hématocrite) sans site de saignement ",identifié,. ,86,identifié,identifier,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,83,acl,_,SpaceAfter=No,-1
emea-fr-dev_00254,"Un saignement majeur a été défini comme étant la survenue de l'un des éléments suivants : hémorragie intracrânienne, hémorragie rétropéritonéale, perte de sang nécessitant la transfusion d'au moins deux unités de sang complet ou d'hématies ",concentrées,", ou saignement se traduisant par une chute de l'hémoglobine de plus de 3 g/dl ou une chute de l'hémoglobine supérieure à 4 g/dl (ou 12% de l'hématocrite) sans site de saignement identifié. ",43,concentrées,concentrer,VERB,_,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,42,acl,_,SpaceAfter=No,1
emea-fr-dev_00285,"Des cas de surdosage correspondants à 10 fois la dose recommandée ont été rapportés dans les études cliniques, Des bolus de bivalirudine, allant jusqu'à 7,5 mg/kg, ont également été administrés sans qu'il ne soit rapporté de saignement ",associé, ni d'autres événements indésirables. ,45,associé,associer,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,44,acl,_,_,1
emea-fr-dev_00285,Des cas de surdosage correspondants à 10 fois la dose ,recommandée," ont été rapportés dans les études cliniques, Des bolus de bivalirudine, allant jusqu'à 7,5 mg/kg, ont également été administrés sans qu'il ne soit rapporté de saignement associé ni d'autres événements indésirables. ",11,recommandée,recommander,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,10,acl,_,_,1
emea-fr-dev_00288,Il n'existe pas d'antidote ,connu, pour la bivalirudine ; ,7,connu,connaître,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,6,acl,_,_,1
emea-fr-dev_00309,"ACUITY est une étude prospective, randomisée, en ",ouvert,", destinée à comparer la bivalirudine associée ou non à un inhibiteur de la GP IIb/IIIa (respectivement bras B et C) et l'enoxaparine ou l'héparine non fractionnée (HNF) associée à un inhibiteur de la GP IIb/IIIa (bras A), chez plus de 13 819 patients atteints d'un syndrome coronarien aigu (SCA) et considérés à haut risque. ",10,ouvert,ouvrir,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,9,fixed,_,InIdiom=Yes|SpaceAfter=No,1
emea-fr-dev_00357,"Les données non cliniques, basées sur des études conventionnelles de sécurité, de pharmacologie, de toxicité à doses ",répétées,", de génotoxicité, ou de toxicité pour la reproduction, n'indiquent aucun risque particulier pour l'être humain. ",21,répétées,répéter,VERB,_,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,20,acl,_,SpaceAfter=No,1
emea-fr-dev_00359,Une comparaison des études à dose unique et à doses ,répétées, a révélé que la toxicité était principalement liée à la durée d'exposition. ,12,répétées,répéter,VERB,_,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,11,acl,_,_,1
emea-fr-dev_00361,"Après une brève exposition comparable à celle qui prévaut lors d'une utilisation clinique, et même après une exposition à des doses bien plus élevées, il n'a pas été observé d'effet indésirable résultant d'un stress physiologique ",prolongé, en réponse à un état de coagulation non homéostasique. ,42,prolongé,prolonger,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,40,acl,_,_,3
