Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
6792,25375,Les calculs effectués pour l'ensemble de la population mondiale démontrent que la consommation dépasse de 21 et 30% (les chiffres ,varient,) les capacités des ressources naturelles à se renouveler et à absorber les pollutions.,24.0,varient,varier,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,15.0,parataxis,15:parataxis,SpaceAfter=No,1.0
16262,60776,Cette moyenne risque toutefois de ,varier, puisque la plupart des provinces déposent leur budget ces jours-ci.,6.0,varier,varier,VERB,VERB,VerbForm=Inf,3.0,xcomp,3:xcomp,_,1.0
29136,109628,Même s'il ne s'agit que de transitions pour ,varier," un peu, difficile de se contenter aujourd'hui d'un jeu de cache-cache vraiment trop basique, avec une I.A. déficiente, une précision peu évidente et tous les défauts typiques des jeux du même type.",11.0,varier,varier,VERB,VERB,VerbForm=Inf,6.0,advcl,6:advcl,_,1.0
36361,136842,Certaines de ces informations ,varient, au fur et à mesure que le paysage évolue sous l'action des agents.,5.0,varient,varier,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
41133,155112,"Je fus stupéfait par cette révélation et je regardai la plume que je tenai dans la main tel un joyau, ses couleurs ",variaient," subtilement, tel un feu vacillant au vent.",24.0,variaient,varier,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Imp|VerbForm=Fin,3.0,advcl,3:advcl,_,1.0
44005,166006,"Vérifiez les informations fournies par les guides, car les conditions d'obtention des visas ",varient," souvent; par exemple : je n'ai obtenu qu'un visa d'un mois à mon arrivée à Madagascar, contre trois mentionnés dans mon guide.",16.0,varient,varier,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,1.0,conj,1:conj,_,1.0
47413,178914,"Cependant, la durée de la tontine peut ",varier," fortement, le client peut décider à tout moment d'interrompre les versements et exiger de suite la restitution de ses dépôts.",9.0,varier,varier,VERB,VERB,VerbForm=Inf,8.0,xcomp,8:xcomp,_,1.0
47972,180859,"Ainsi, la contribution, d'un groupe envers la technologie (et vice versa) ",varie, grandement dépendamment du degré de familiarité de l’individu.,17.0,varie,varier,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,2.0
58872,221537,Ses refus sont rigides et ne ,varient, pas quelles que soient les situations.,7.0,varient,varier,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,4.0,conj,4:conj,_,1.0
67326,254146,Les produits dangereux ,Variés," et nombreux, ils sont regroupés en 9 classes.",4.0,Variés,varier,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,10.0,advcl,10:advcl,_,1.0
67337,254228,Les choses n'ont pas ,varié," depuis: l'avenir des produits helvétiques réside toujours dans ce quelque chose de plus composé d'adéquation, de qualité, d'invention et d'expression.",6.0,varié,varier,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
75605,284778,Comme il n'y a pas de preuve et que les révélations ont été tardives et ,varient,", on fait appel à des psychologues pour dresser un profil, on diabolise une personne"""".",18.0,varient,varier,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,16.0,conj,16:conj,SpaceAfter=No,3.0
78986,297254,Ses effectifs ,varient," autour de celui d’une ala quingenaria, soit 512 cavaliers répartis en 16 turmes.",3.0,varient,varier,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
95742,361438,Notre précédent avis était neutre : les cours n'ont pas significativement ,varié, mais nous modifions notre point de vue.,13.0,varié,varier,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,5.0,advcl,5:advcl,_,1.0
104675,394947,L'état logique d'un champ ,varie, lorsque un objet externe modifie les mesures télémétriques dans ce champ.,7.0,varie,varier,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
114571,432495,Son rictus ne ,varie," jamais, pas plus que son ton.",4.0,varie,varier,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
119351,451032,"Selon la sévérité de la blessure (certains doivent tout réapprendre), les coûts ",varient, de 1 à 25millions de dollars.,16.0,varient,varier,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
148931,562044,Puis un nouveau déménagement intervient sans que la composition du ménage ne ,varie,"; mais c'est le fils, toujours célibataire, qui devient le chef de famille, installé comme avoué avec ses parents à charge.",13.0,varie,varier,VERB,VERB,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,5.0,advcl,5:advcl,SpaceAfter=No,1.0
150238,566844,La politique antiterroriste ,varie," également selon que les Etats sont confrontés à un terrorisme émanant de groupes indépendantistes (Russie, Chine) ou plutôt à un terrorisme international 'djihadiste' (Etats-Unis, Grande-Bretagne, France).",4.0,varie,varier,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
162323,612115,Poser d'une façon ou d'une autre ces questions appelle des réponses qui ,varient,", relève Marc Hatzfeld (Interstices), chargé d'introduire le débat, selon """"le lieu d'implantation de la régie et son histoire, le quartier, la ville"""".",15.0,varient,varier,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,13.0,acl:relcl,13:acl:relcl,SpaceAfter=No,3.0
186640,704078,L'ampleur des adaptations ,varie, : la gestion de commandes génériques sera plus accessible que celle de composants clés du processus de production.,5.0,varie,varier,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
191782,723485,"Le repérage et la """"progression"""" sont gardés, seuls les supports ",varient,", ce qui permet un renouvellement nécessaire.",14.0,varient,varier,VERB,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,9.0,advcl,9:advcl,SpaceAfter=No,1.0
192555,726467,"Notre langage a ceci de particulier qu'il n'a pas changé, qu'il n'a pas même ",varié," [...] ; et ceci encore, que le parler dialectal des Tourangeaux et des Berrichons, d'où le nôtre est sorti, est réputé le meilleur de toute la France » (1).",20.0,varié,varier,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,12.0,conj,12:conj,_,1.0
203522,767932,Le pH ,varie, comme le montre le schéma ci-contre :,3.0,varie,varier,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
