Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
357,1286,"Ensuite, c'est bien le dollar qui baisse et non l'euro qui ",monte, : jauger donc la valeur de l'euro à l'aune du seul billet vert est une vue réductrice.,15.0,monte,monte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,13.0,acl:relcl,13:acl:relcl,_,2.0
1228,4545,"Aujourd'hui, après avoir considéré et évalué diverses hypothèses, la compagnie qui ",monte, a décidé de choisir le rapprochement avec Westair.,14.0,monte,monte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,12.0,acl:relcl,12:acl:relcl,_,3.0
10977,41187,"C'est sûr, il n'y aura pas de voiture pour Alizé Cornet, battue d'entrée par la Bulgare qui ",monte,", Tsvetana Pironkova (6-2, 6-1).",23.0,monte,monte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,21.0,acl:relcl,21:acl:relcl,SpaceAfter=No,2.0
21743,81381,Il s'emporte facilement et prend du poids au fur et à mesure que sa colère ,monte,; éventuellement il se transforme en pierre.,17.0,monte,monte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,9.0,ccomp,9:ccomp,SpaceAfter=No,1.0
24860,93063,"Et comme ce groupe de musique local qui monte, qui ",monte," est bilingue, il signe aussi des chansons de rock bien trempé aux paroles en anglais, cela va de soi.",9.0,monte,monte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,4.0,acl:relcl,4:acl:relcl,SpaceAfter=No,1.0
24862,93063,Et comme ce groupe de musique local qui ,monte,", qui monte est bilingue, il signe aussi des chansons de rock bien trempé aux paroles en anglais, cela va de soi.",9.0,monte,monte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,4.0,acl:relcl,4:acl:relcl,SpaceAfter=No,1.0
25250,94560,La tension ,monte," et Dominique me dit qu'ils ont dû nous oublier, lorsque notre ami Charlie Koben est appelé pour la deuxième place, il faut se rendre à l'évidence, on a décroché le gros lot.",3.0,monte,monte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
48229,181799,"Tous les jours, on en découvre un peu plus et ça ",monte," doucement"""", a dit un policier à l'agence de presse Reuters.",14.0,monte,monte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,8.0,conj,8:conj,_,2.0
53540,201833,"L'escalier très étroit, usé au milieu, ",monte, en tournant.,10.0,monte,monte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
67552,255015,On sait que l'eau à 4° est plus lourde que l'eau à 0° la glace ,monte," et flotte, l'eau non gelée reste au fond.",20.0,monte,monte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
