Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
3590,13510,"Les conversations ont été constructives mais n'ont pas permis d'accord"""" et """"le temps ",presse,", a déclaré le ministre allemand Frank-Walter Steinmeier à la presse après une rencontre dans la matinée.",19.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,6.0,conj,6:conj,SpaceAfter=No,1.0
30866,116408,Or le temps ,presse,: la CDB s'est fixée pour objectif de ralentir de manière significative d'ici 2010 le rythme actuel effarant de l'appauvrissement de la biodiversité.,4.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,SpaceAfter=No,1.0
52036,196269,Le temps ,presse,", alors que la trêve décrétée dimanche soir, après quatre jours de combats qui ont fait plus de 30 morts, tient globalement: les précédents cessez-le-feu n'ont pas duré.",3.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,SpaceAfter=No,1.0
70296,265293,Le temps ,presse," et nous réservons à plus tard la découverte des aspects pédagogiques, c'est notre métier.",3.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
83715,314669,Le temps ,presse,", les commerçants et les résidants du secteur d'Estimauville exigent des réponses.",3.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,SpaceAfter=No,1.0
149099,562730,Le temps ,presse, car le but est de monter une équipe pour disputer la coupe d'Afrique des nations l'an prochain.,3.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
151436,571438,Le temps ,presse,", affirmait un communiqué du directeur exécutif du Pam James Morris, qui estimait qu'atteindre les victimes isolées du séisme était """"une des missions les plus dures jamais entreprises"""" par l'agence.",4.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,SpaceAfter=No,1.0
158673,598268,Le ministre Bachand croit que le temps ,presse," et que les manufacturiers n'en peuvent plus d'attendre, surtout avec la hausse récente du dollar canadien.",8.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,4.0,ccomp,4:ccomp,_,1.0
204555,772041,"Le retour des vestiaires est prometteur, l'ASNL ",presse, et impose son jeu.,10.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,6.0,advcl,6:advcl,_,1.0
207824,783952,Mais le temps ,presse, : le brevet du rimonabant a été déposé en 1994.,4.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,2.0
225611,850960,Le temps ,presse," : dans certains états, il reste à peine quelques jours pour le faire.",3.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
263883,994544,Le temps ,presse," et nous devrons aller au tribunal vendredi au plus tard, mais plus tôt si possible"""", a déclaré son avocat Neil Collins.",3.0,presse,presse,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
