Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
11640,43607,Deux jeunes de 16 et 17 ans ont été interpellés et ,écroués,", selon une source policière.",12.0,écroués,écrouer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,10.0,conj,10:conj,SpaceAfter=No,1.0
95779,361561,Un jeune homme de 18 ans a été mis en examen et ,écroué, vendredi pour assassinats dans l'enquête sur l'homicide de sa mère et de son jeune frère mardi soir.,13.0,écroué,écrouer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,9.0,conj,9:conj,_,2.0
110603,417292,"Son épouse, Edita Rumsas a été mise en examen et ",écrouée,", mardi à Bonneville, pour """"administration, offre, cession et aide à l'usage de produits dopants"""" au terme d'une garde à vue de 48 heures dans les locaux du SRPJ à Lyon.",12.0,écrouée,écrouer,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,8.0,conj,8:conj,SpaceAfter=No,1.0
144656,545842,"Le père de famille en instance de divorce, qui a avoué avoir noyé ses trois enfants à son domicile de Montélimar (Drôme), a été mis en examen vendredi à Valence pour homicides volontaires et ",écroué,", a-t-on appris de source judiciaire.",39.0,écroué,écrouer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,29.0,conj,29:conj,SpaceAfter=No,1.0
199316,752322,"Des chars britanniques ont abattu en soirée les murs de la prison centrale de Bassorah, dans le sud de l'Irak, pour libérer deux Britanniques, présentés comme des agents secrets et ",écroués, pour avoir tiré sur des policiers irakiens.,35.0,écroués,écrouer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,32.0,conj,32:conj,_,1.0
200822,757782,L'homme a été transféré et ,écroué," jeudi soir à la prison parisienne de la Santé, a indiqué vendredi son avocat devant le TPIR, Me François Roux.",7.0,écroué,écrouer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,5.0,conj,5:conj,_,1.0
204165,770480,"Les deux autres, qui ont déclaré avoir été présents le soir du drame, ont été mis en examen et ",écroués," pour """"non-assistance à personnes en péril"""" et """"non-dénonciation de crime"""", délits passibles de cinq ans d'emprisonnement.",22.0,écroués,écrouer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,18.0,conj,18:conj,_,1.0
211607,798026,Un sans domicile fixe a déjà été inculpé pour ces meurtres et ,écroué, jeudi.,13.0,écroué,écrouer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,8.0,conj,8:conj,_,1.0
232627,876932,Les seize Européens inculpés et ,écroués," à Abéché, dans l'est du Tchad, ont été transférés vendredi à N'Djamena où ils seront jugés dans """"l'affaire de L'Arche de Zoé"""".",6.0,écroués,écrouer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,4.0,conj,4:conj,_,2.0
257058,968740,Le chauffeur du bus a été mis en examen et ,écroué," mercredi pour """"homicides et blessures involontaires"""".",11.0,écroué,écrouer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,7.0,conj,7:conj,_,1.0
262300,988792,Deux adolescents de 14 et 15 ans ont été mis en examen et ,écroués, mercredi soir pour quatre vols à main armée de commerces dans la région stéphanoise.,14.0,écroués,écrouer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,10.0,conj,10:conj,_,1.0
264065,995198,Otegi inculpé d'appartenance à l'ETA Arnaldo Otegi a été inculpé et ,écroué," jeudi pour """"appartenance à une organisation terroriste avec rang de dirigeant"""".",14.0,écroué,écrouer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,12.0,conj,12:conj,_,3.0
