Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
18359,68774,Les trois malfaiteurs ,masqués, et vêtus de couleur sombre se sont introduits dans le musée dimanche peu avant 16h30 et ont agi de façon professionnelle et pleine de sang-froid.,4.0,masqués,masquer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,3.0,acl,3:acl,_,2.0
19111,71725,"Des équipes de militaires, ",masqués,", gantés, comme dans les plus mauvais films de série Z, aspergent, maisons et quartiers avec leurs pulvérisateurs.",6.0,masqués,masquer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,4.0,acl,4:acl,SpaceAfter=No,1.0
21679,81165,Si la devise de Descartes était «J'avance ,masqué,"»; Gainsbourg, fin lettré, a su faire du style un masque derrière lequel il peut dire sans trahir, oser sans offenser, choquer sans avilir.",10.0,masqué,masquer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,9.0,xcomp,9:xcomp,SpaceAfter=No,2.0
28521,107210,"Le matin de la Saint-Sylvestre mais aussi le 13 janvier (le jour de l'antique Saint-Sylvestre selon le calendrier Julien) les groupes de Silvesterkläuse, ",masqués," et costumés, se rendent dans tous les villages et hameaux.",28.0,masqués,masquer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,24.0,acl,24:acl,_,1.0
48206,181717,"Le groupe, victime depuis des mois au Japon d'un déficit d'image après une série de scandales de défauts de fabrication sciemment et illégalement ",masqués,", table aussi sur des ventes mondiales de 1,37 millions de véhicules.",27.0,masqués,masquer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,4.0,acl,4:acl,SpaceAfter=No,1.0
82730,311009,"Quelques heures auparavant, des activistes armés et ",masqués," des Brigades avaient fait évacuer le terminal frontalier de Rafah, où des observateurs de l'Union européenne supervisent les transits, et en ont interdit l'accès durant une heure et demie.",9.0,masqués,masquer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,7.0,conj,7:conj,_,1.0
169370,638786,"Je peux affiner légèrement en m'interrogeant sur la saison: les gens sont garantis contre le froid, mais sans excès: pas d'écharpes, l'homme de l'extrême gauche a la veste ouverte, celui du 2e plan, à demi ",masqué,", a gardé le manteau ouvert.",46.0,masqué,masquer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,34.0,advcl,34:advcl,SpaceAfter=No,2.0
179335,676569,Quatre hommes armés et ,masqués, ont aspergé deux églises catholiques avec un liquide inflammable avant d'y mettre le feu.,5.0,masqués,masquer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,3.0,conj,3:conj,_,1.0
254457,958756,"Cinq instituteurs et un chauffeur, tous chiites, ont été exécutés lundi dans une école au sud de Bagdad par dix hommes armés et ",masqués,", a affirmé une source policière à Hilla.",26.0,masqués,masquer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,24.0,conj,24:conj,SpaceAfter=No,1.0
264067,995203,Un photographe espagnol de l'agence américaine Associated Press a été libéré mardi soir à Gaza après avoir été enlevé tôt dans la matinée par des ravisseurs ,masqués," et armés, ont indiqué des sources sécuritaires palestiniennes.",28.0,masqués,masquer,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,27.0,acl,27:acl,_,1.0
