Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
7462,27887,"La situation économique globale, la morosité, le terrorisme dans certains pays, la conjoncture internationale invitent à moins sortir"""", ",remarque, Olivier Snanoudj.,24.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,18.0,parataxis,18:parataxis,_,1.0
9332,34723,"C'est extraordinaire que Major ait atteint cet âge là"""", car l'espérance de vie d'un ourang-outang est de 32 ans dans la nature et 35 en captivité, ",remarque, M. Laurent.,35.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,3.0,parataxis,3:parataxis,_,2.0
26421,99135,"La secrétaire d'Etat américaine a reconnu que l'affaire El-Masri était une erreur et non le résultat d'une stratégie délibérée », ",remarque, le journal des affaires.,27.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,7.0,parataxis,7:parataxis,_,1.0
33543,126444,"Stéphane considérait que les curés et les maires leur devaient asile"""", ",remarque," simplement Chantal, sa mère.",15.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,3.0,parataxis,3:parataxis,_,1.0
42032,158597,"Il leur a fallu près de deux jours pour nous avertir"""", ",remarque," Willy De Roovere, directeur de l'AFCN, cité jeudi dans le quotidien Le Soir.",14.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,4.0,parataxis,4:parataxis,_,1.0
43179,162754,"Les relations papou-australiennes """"ont traversé une période très difficile récemment"""", ",remarque," Rudd, qui souhaite tourner la page et normaliser ces relations [10].",16.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,8.0,parataxis,8:parataxis,_,1.0
44051,166183,"Les chiffres de la productivité et des commandes industrielles étaient bons"""", ",remarque," M. Cardillo, mais un bond des coûts du travail avait ravivé la peur d'une accélération de l'inflation en début de séance.",14.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,11.0,parataxis,11:parataxis,_,1.0
47118,177725,"Aujourd'hui, pour les automobilistes, """"les alternatives pour dépenser moins sont peu nombreuses"""", face au coût toujours élevé des carburants, ",remarque, l'Automobile Club.,26.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,2.0
59222,222912,"La Grande-Bretagne, qui est sortie du Système monétaire européen, a pu mener une politique macro-économique plus active"""", ",remarque, Aurore Wanlin.,23.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,14.0,parataxis,14:parataxis,_,2.0
76524,288113,"Les Etats-Unis n'ont pas bougé, qui continuent de résister à tous les objectifs ou mesures concrets, mais leur intransigeance est apparue au grand jour, ",remarque," Phil Clapp, directeur du National Environment Trust, basé à Washington.",29.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,6.0,parataxis,6:parataxis,_,1.0
104422,394059,"Ainsi, entre les données fournies par l'Office du personnel et l'Office cantonal de la statistique, les effectifs hospitaliers diffèrent de 416 unités (respectivement 9807 à 9391 en 2004), ",remarque," Michel Gioria, président du Forum.",36.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,23.0,parataxis,23:parataxis,_,1.0
107226,404776,"Ces attentats """"ont secoué les élites réputées pour leur autosatisfaction"""", ",remarque, le professeur.,14.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,5.0,parataxis,5:parataxis,_,1.0
125788,475088,"La forme actuelle de la coopérative a la cote à droite: """"Les producteurs ont de la chance d'avoir Coop et Migros comme partenaires"""", ",remarque," Jean-René Germanier, conseiller national radical valaisan et membre du CA de Migros.",29.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,7.0,parataxis,7:parataxis,_,1.0
139467,526280,"Car les brutalités tendent à se répéter, ",remarque,"-t-elle en citant le G8, le Gruetli ou des matches de football.",9.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,4.0,parataxis,4:parataxis,SpaceAfter=No,1.0
151847,572982,"«Pas simple, avec les miettes qui restent au supérieur après le Contrat pour l'école» , ",remarque, Prosper Boulangé de la CSC-Enseignement.,20.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,3.0,parataxis,3:parataxis,_,2.0
158453,597369,"Le mieux est d'éviter tout contact entre les volailles et les animaux sauvages, mais ce n'est pas toujours possible et c'est plus difficile dans les pays en développement"""", ",remarque, Jean-Luc Angot de l'Organisation mondiale de la santé animale (OIE).,35.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,3.0,parataxis,3:parataxis,_,2.0
162949,614484,"Les opérateurs de téléphonie ont du mal à s'y faire"""", ",remarque," Benoît Flamant, directeur général d'IT Asset Management à Paris.",15.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,6.0,parataxis,6:parataxis,_,1.0
166253,626877,"«Les positions de certains fonds global macro deviennent haussières sur la Norvège, ",remarque, Jean-Marc Guillot.,15.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,9.0,parataxis,9:parataxis,_,2.0
192710,727007,"Nos bénéfices sont régulièrement réinvestis, ce qui représente 50 millions d'euros au cours des quinze dernières années», ",remarque, Olivier Jungers.,22.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,5.0,parataxis,5:parataxis,_,1.0
203699,768539,"De manière générale, « les candidats à la reprise ne manquent pas », ",remarque," Jean-Louis Ruatti, président du directoire du fonds d'investissement Agroinvest.",16.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,12.0,parataxis,12:parataxis,_,1.0
210556,793844,"À l'inverse, «les pays qui ont des relations internationales marquées par la puissance douce , comme la France, le Japon et l'Union européenne, ont tendance à être vus plus positivement», ",remarque, le chercheur.,39.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,30.0,parataxis,30:parataxis,_,1.0
215741,813362,"Pour faire un changement, la demande doit venir du milieu», ",remarque," Daniel Desharnais, attaché de presse de la ministre québécoise des Transports, Julie Boulet.",14.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,8.0,parataxis,8:parataxis,_,3.0
228754,862823,"«Les miliciens soudanais pénètrent de plus en plus profondément au Tchad pour piller et tuer», ",remarque," Peter Takirambudde, le directeur Afrique de l'organisation.",19.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,5.0,parataxis,5:parataxis,_,1.0
236184,890461,"«Comme tout le monde croit qu'il n'y a que des places assises payantes, alors que debout c'est gratuit, personne ne vient», ",remarque," Frédéric Salzmann, patron de la Nonna et responsable des bars.",30.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,27.0,parataxis,27:parataxis,_,1.0
243957,919494,"Je sais qu'il y ont des personnalités respectées des deux côtés"""", ",remarque,"-t-il avant de rappeler que """"le SG de l'Onu, Kofi Annan, suit l'évolution de la situation chaque semaine"""".",15.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,2.0,parataxis,2:parataxis,SpaceAfter=No,3.0
253743,955967,"Mais cela ne signifie pas pour autant la fin de la guerre, ",remarque, l'hedmomadaire indien Outlook.,14.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,4.0,parataxis,4:parataxis,_,2.0
256773,967732,"Plus de la moitié ne lit pas le français, et s'ils ont passé de longues années en France, ils ne parlent pourtant pas couramment notre langue """" ",remarque, le ministère.,31.0,remarque,remarque,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,24.0,parataxis,24:parataxis,_,1.0
