Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
874,3261,"Un soleil bas qui plombe l'activité journalière, les gringos accoudés au bar, les mouches qui volent et s'agglutinent sur les vitres graisseuses des cafésnous ",voilà, baignés dans l'atmosphère de ce Total Overdose : A Gunslinger's Tale in Mexico.,29.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,30.0,nsubj:pass,30:nsubj:pass,_,1.0
1249,4625,"À ce sujet, Allard a également confirmé que la console devrait bénéficier d'une sortie mondiale ",Voilà, qui devrait donc un peu rassurer ceux qui craignaient une machine absolument inabordable.,18.0,Voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,0.0,root,0:root,_,2.0
11019,41328,Créée en septembre 1999 sur l'initiative personnelle de David Benoît sur le site de ,Voilà,", elle est depuis co-gérée par plusieurs de ses participants.",16.0,Voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,14.0,nmod,14:nmod,SpaceAfter=No,1.0
11106,41638,Mais qu'un événement insignifiant à l'échelle planétaire se déroule dans la rue et nous ,voilà," tous à la fenêtre, voire sur le pavé...[1] Prendre les journalistes pour cible n'a pas plus de sens.",17.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,11.0,conj,11:conj,_,1.0
48364,182256,"C'est un vieux, trés vieux serpent de mer : au lendemain de l'envoi des premières déclarations d'impôts préremplies par l'administration fiscale (Lire l'article), ",voilà, que l'on reparle du prélèvement à la source.,33.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,37.0,expl:subj,37:expl:subj,_,1.0
62839,237080,"Bordeaux s'est une nouvelle fois manifesté, a montré un intérêt plus concret que les autres et ",voilà,", a commenté le joueur.",19.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,7.0,conj,7:conj,SpaceAfter=No,1.0
74097,279199,"Détruire un Etat terroriste, ",voilà," je pense ce qui est requis"""", a estimé Roni Bar-On, un haut responsable du parti Kadima d'Olmert, au micro de Radio Israël.",6.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,0.0,root,0:root,_,2.0
77572,291920,"On met en marche la machine ou le micro-ondes, le maïs éclate, une bonne dose de beurre et ",voilà,", enjoy!",21.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,2.0,conj,2:conj,SpaceAfter=No,1.0
96038,362419,"Mais ce sont des hebdos ou mensuels, ",voilà, pourquoi je parle de quotidien.,9.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,12.0,advmod,12:advmod,_,1.0
105109,396658,"Celles-ci regardent en l'air de leurs yeux vides, celles-là en bas ; en voici qui semblent rire atrocement, en ",voilà," qui sont tordues par la douleur, toutes paraissent affolées par une épouvante surhumaine.",26.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,0.0,root,0:root,_,2.0
127383,480934,"A l'instar de sa devancière, l'Elise 2 s'est faite 111S avec l'implantation de l'infatigable bloc K dopé à 158 ch. ",Voilà, qui permettra d'enrouler encore plus ébouriffé les sinuosités du Norfolk... ou d'ailleurs.,28.0,Voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,0.0,root,0:root,_,2.0
195284,736563,"Évidemment, on pourrait se méfier de la prose emphatique typiquement américaine, seulement ",voilà,", l'établissement et son chef sont bardés de prix.",15.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,4.0,parataxis,4:parataxis,SpaceAfter=No,1.0
198118,747624,La Menaz (d) 26 février 2008 à 14:58 (CET) Ben ,voilà,", ancore une promesse non tenue...",15.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,17.0,dep,17:dep,SpaceAfter=No,3.0
201729,761173,"Ceux-ci, annoncés par voie d'affiche pour 18:30 sont au nombre de quatre à 19:15. Muriel, la directrice de la MPT explique à l'adjoint au maire que les KadorS c'est des types super mais que la ponctualité, ",voilà,", c'est pas leur truc.",46.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,27.0,conj,27:conj,SpaceAfter=No,1.0
202001,762133,"Il y avait aussi du chômage, etc. Seulement ",voilà,", maintenant, on a une première dame qui a """"all eyes on her"""" pour citer la presse anglaise.",10.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,15.0,advcl,15:advcl,SpaceAfter=No,2.0
207076,781141,"On parle d'homosexualité, et ",voilà,", je te sers encore l'islam à la sauce homo.",7.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,2.0,conj,2:conj,SpaceAfter=No,2.0
212895,802904,J'ajoute qu'introduire des noms d'artistes américains en veux tu en ,voilà," comme semble le faire """"Musikfabrik"""" sur le site Wikipedia est plutôt ridicule car cela ne leur apportera pas une réelle reconnaissance en Europe...",14.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,11.0,xcomp,11:xcomp,_,3.0
229465,865435,"Pas par la force armée seulement, c'est vrai, et ",voilà, pourquoi je dis qu'il faut une combinaison de hard et de soft power.,13.0,voilà,voilà,VERB,VERB,Mood=Ind|VerbForm=Fin,4.0,conj,4:conj,_,3.0
