Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
1720,6400,"Les sept conseillers d'Etat sont unis derrière un même objectif, s'est ",félicité," le démocrate-chrétien Guy Mettan.Du côté de l'UDC, on s'est voulu beaucoup plus critique encore.",15.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,7.0,parataxis,7:parataxis,_,2.0
4779,17837,"Selon un rapport réalisé par l''European centre for disease prevention and control' (ECDC), le modèle mis en place en Belgique mérite d'être porté à la connaissance des autres Etats-membres comme un exemple"""", s'est ",félicité, Rudy Demotte.,45.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,26.0,parataxis,26:parataxis,_,2.0
14771,55186,"Pour la première fois, une enquête indépendante apporte des signes objectifs et concrets de dépassement massif du temps de travail chez Renault"""", s'est ",félicité, un syndicat.,29.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,10.0,parataxis,10:parataxis,_,1.0
15670,58464,"Concrètement, environ 3.000 actions, principalement à but pédagogique, seront menées pendant cette semaine, y compris dans des entreprises, s'est ",félicité, M. Perben.,26.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,2.0
17235,64528,"Avec cette loi, nous avons tous les moyens d'optimiser tous les leviers dont notre croissance a besoin"""", s'est ",félicitée, Catherine Vautrin (UMP).,25.0,félicitée,féliciter,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,7.0,parataxis,7:parataxis,_,2.0
19754,74054,Je n'ai pas fait d'erreur tactique s'est ,félicité," Vasseur. """" Dans le final, je me doutais que j'aurai du mal à me dégager, je me suis reposé sur Jens Voigt et à 5km de l'arrivée j'ai tout misé sur le sprint """".",11.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,5.0,advcl,5:advcl,_,3.0
24301,91054,"Cette mutation s'est accompagnée du rachat intégral de sa filiale italienne RAS et maintenant des AGF, mais aussi du russe Rosno, annoncé mercredi. """" Notre concentration sur la hausse de nos bénéfices a payé"""", s'est ",félicité, M. Diekmann.,43.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,38.0,parataxis,38:parataxis,_,1.0
24483,91741,"Ces chiffres montrent bien que pour les années 2004 et 2005, nous avons un ralentissement des dépenses"""", s'est ",félicité," le directeur général de la Cnam, Frédéric van Roekeghem, interrogé par l'AFP.",23.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,3.0,parataxis,3:parataxis,_,1.0
24489,91763,"C'est le déficit le plus bas depuis les 30 dernières années"""", s'est ",félicité, le Premier ministre portugais José Socrates lors d'une conférence de presse.,18.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,5.0,parataxis,5:parataxis,_,1.0
26762,100344,"Il a spontanément proposé un dispositif qui va plus loin que celui qui était demandé par la Société des journalistes à Pearson"""", s'est ",félicité," le président de la SDJ, Vincent de Féligonde.",27.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,4.0,parataxis,4:parataxis,_,3.0
36258,136444,"Si les 8 900 conducteurs et préposés à l'entretien l'entérinent, ils seront les mieux payés de tout le Grand Toronto, s'est ",félicité, M. Kinnear.,27.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,18.0,parataxis,18:parataxis,_,2.0
37437,140855,"Nous aurions souhaité plus, mais c'est déjà une avancée"""", s'est aussi ",félicité," François Fondard, le président de la puissante Union nationale des associations familiales (Unaf), qui regroupe quelque 800.000 familles.",17.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,3.0,parataxis,3:parataxis,_,1.0
41893,158124,"Un plus grand nombre de modes de paiement seront désormais acceptés pendant la seconde phase de ventes de billets, qui commence le 2 mai"""", s'est ",félicité, la Commission européenne.,30.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,11.0,parataxis,11:parataxis,_,2.0
43423,163661,"Les filles ont superbement nagé"""", s'est ",félicitée, leur entraîneur Julie Fabre.,10.0,félicitée,féliciter,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,5.0,parataxis,5:parataxis,_,1.0
49501,186640,"« Ce fut une excellente entrevue, s'est ",félicité," le sénateur-maire, le ministre a été convaincu de la justesse de notre cause et surpris par la teneur des attendus de la DNCG.",10.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,6.0,parataxis,6:parataxis,_,1.0
69341,261718,"La plupart des compétiteurs chinois déploient pleinement toutes leurs capacités pour réaliser le but de réussir de bons résultats chez eux, s'est ",félicité," Cui Dalin, le chef de la délégation chinoise.",25.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,6.0,parataxis,6:parataxis,_,1.0
71180,268445,"Ces gens étaient un plaisir, ils se sont comportés avec dignité et respect"""", s'est ",félicité," le juge Antonio Viviano, après avoir prononcé leur divorce.",19.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,5.0,parataxis,5:parataxis,_,1.0
75629,284866,"C'est un triomphe pour la politique européenne du Monténégro"""", s'est ",félicité, le chef du gouvernement.,15.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,4.0,parataxis,4:parataxis,_,1.0
81758,307368,"Cette percée """"va profiter à des dizaines de millions de gens parmi les plus pauvres au monde"""", s'est ",félicité," le chanteur irlandais Bob Geldof, porte-drapeau de la lutte contre la pauvreté et créateur des concerts Live8.",23.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,4.0,parataxis,4:parataxis,_,1.0
83974,315635,"Un «grand pas en avant», s'est ",félicité," Steve Jobs, récemment rallié au camp anti-DRM après avoir longtemps profité de la relation exclusive entre l'iPod et iTunes pour s'imposer en leader incontesté de ce nouveau secteur.",11.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,4.0,parataxis,4:parataxis,_,1.0
98963,373562,"Nous avons agi avec audace pour empêcher que la crise à Wall Street ne devienne une crise qui touche toutes les communautés dans notre pays"""", s'est ",félicité," le président des Etats-Unis, qui a ensuite apposé son paraphe sur le texte.",31.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,4.0,parataxis,4:parataxis,_,1.0
108025,407691,"Des réformes sont nécessaires, et la privatisation de la Poste donne le la en indiquant que le Japon avance sur le chemin de ces réformes,"""" s'est ",félicité," un économiste de JP Morgan, Ryo Hino.",31.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,4.0,parataxis,4:parataxis,_,1.0
133521,504325,"Malgré des conditions économiques plus difficiles au deuxième semestre, M&S a fait une bonne année"""", s'est ",félicité," le directeur général du groupe Stuart Rose, cité dans le communiqué.",21.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,13.0,parataxis,13:parataxis,_,1.0
135675,512338,"Manu est un jour de grand calibre, je dirais même que c'est un joueur de type All-Star"""", s'est ",félicité, son entraîneur Gregg Popovich.,27.0,félicité,féliciter,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,5.0,parataxis,5:parataxis,_,3.0
