Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
1071,3949,C'est la modalité universellement ,répandue,", systèmes millénaires aux combinatoires inégalées, qui peut faire éclater l'uniformité de nos deux uniques modes.",6.0,répandue,répandre,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,4.0,acl,4:acl,SpaceAfter=No,2.0
2073,7834,Contrairement à des croyances largement ,répandues,", l'arrêt de l'immigration en 1974 n'a pas provoqué une hausse, mais une forte baisse du regroupement des familles de résidents étrangers.",6.0,répandues,répandre,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,4.0,acl,4:acl,SpaceAfter=No,2.0
17332,64968,Le feu s'est ,répandu, très vite et a gagné le village sans que personne n'ait été présent pour les secours d'urgence.,5.0,répandu,répandre,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
18919,70946,De nombreuses caractéristiques du heavy metal se sont ,répandues, au-delà de la scène.,9.0,répandues,répandre,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
47173,177918,Je suis musulmane c'est d'ailleurs la religion la plus ,répandue, au Sénégal avec 96 % de la population suivie de la religion chrétienne qui est d'environ 3 %.,12.0,répandue,répandre,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,9.0,acl,9:acl,_,1.0
53727,202533,Contrairement à une idée fortement ,répandue,", les sites pornographiques ou de jeu ne sont pas les seuls en cause.",6.0,répandue,répandre,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,4.0,acl,4:acl,SpaceAfter=No,1.0
58943,221835,L'agressivité des corticoïdes contre la muqueuse gastrique est une notion fort ,répandue, mais récemment battue en brèche.,13.0,répandue,répandre,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,11.0,acl,11:acl,_,1.0
63379,239140,Contrairement à une illusion fort ,répandue,", la France n'est pas un pays monolingue.",6.0,répandue,répandre,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,4.0,acl,4:acl,SpaceAfter=No,2.0
73593,277314,"Une dizaine de normes françaises ou européennes relatives aux lits et matelas ont été créées depuis 1993, dont l'une concerne les lits rabattables (NF EN 1129-1, Parties 1 et 2 de juin 1995) qui sont pourtant moins ",répandus, que les lits gigognes.,45.0,répandus,répandre,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,38.0,acl:relcl,38:acl:relcl,_,1.0
76675,288616,Contrairement à une idée encore trop souvent ,répandue,", la grande majorité des personnes âgées vivent à leur domicile et non en collectivité, dans un établissement médicalisé ou non.",8.0,répandue,répandre,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,4.0,acl,4:acl,SpaceAfter=No,3.0
