Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
17989,67408,Et pourtant laisser quelques camarades dans un debat revenait les ecouter apres 10 minutes et tous les bons principes enonces au debut de la rencontre se sont ,envoles, pour laisser place aux bons vieux reflexes.,28.0,envoles,envoler,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,11.0,obl:mod,11:obl:mod,_,1.0
61487,231802,Les actions d'ACE se sont ,envolées," et ont gagné plus de cinq pour cent à la Bourse de Toronto, en début de journée, mais au moment de la clôture, elles avaient perdu 0,42 $, à 34,13 $.",7.0,envolées,envoler,VERB,VERB,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
71491,269630,"Selon elle, """"le nombre des emplois en France dans le secteur détergents-cosmétiques a baissé de plus de 50% en 10 ans alors que les bénéfices se sont ",envolés," et que la rémunération des dividendes donne le vertige"""".",33.0,envolés,envoler,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,18.0,advcl,18:advcl,_,3.0
75720,285244,"Mais si les volumes se sont contractés, les prix eux se sont bel et bien ",envolés," permettant aux revenus de monter de 22,5% (26,69 milliards d'euros).",17.0,envolés,envoler,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,0.0,root,0:root,_,2.0
77103,290172,Un prêtre brésilien avait disparu en avril après s'être ,envolé,", suspendu à un millier de ballons gonflés à l'hélium.",11.0,envolé,envoler,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,5.0,advcl,5:advcl,SpaceAfter=No,1.0
91527,344941,"Son couple est monotone, ses idéaux se sont ",envolés,", même son travail de journaliste est une farce.",10.0,envolés,envoler,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,4.0,conj,4:conj,SpaceAfter=No,1.0
107147,404464,"Pour Condamné à l'excellence, plus de 100 000 billets se sont ",envolés," et ce, avant même sa première montréalaise à la fin du mois.",14.0,envolés,envoler,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
107979,407501,Le rêve s'est ,envolé," et lundi elle s'est contentée d'annoncer dans son journal de la mi-journée le retrait du sportif pour blessure, sans plus.",5.0,envolé,envoler,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
147583,556892,Ses espoirs d'inscrire une deuxième victoire dans cette série se sont toutefois ,envolés," lorsque Los Angeles a inscrit deux points en huitième pour créer l'égalité, 2-2.",14.0,envolés,envoler,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
153397,578557,Les prix de l'essence se sont ensuite ,envolés, avant de se stabiliser nettement au-dessus du seuil psychologique du dollar.,9.0,envolés,envoler,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
196597,741613,"PPR (+12,08% à 95,45 euros) s'est ",envolé,", terminant en tête du CAC 40 après avoir annoncé tabler sur """"une progression remarquable"""" de ses résultats en 2007 et sur une nouvelle amélioration en 2008.",11.0,envolé,envoler,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,SpaceAfter=No,3.0
203177,766593,Les prix se sont ,envolés,. 2007 s'annonce comme l'année de tous les records pour le secteur immobilier chinois.,5.0,envolés,envoler,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,0.0,root,0:root,SpaceAfter=No,1.0
