Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
20969,78586,"C'est un ordre », s'est ",exclamé," Sidi Saïd. « Vous êtes ici pour élire une direction nationale et vous êtes responsables et je ne veux, à cet effet, aucun commentaire qui dérange », a-t-il précisé.",9.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,4.0,parataxis,4:parataxis,_,3.0
31604,119085,"J'adore les conditions humides, je me suis beaucoup amusé"""" , s'est ",exclamé," l'Espagnol, qui n'est qu'à deux points de son équipier au classement général du championnat.",17.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,3.0,parataxis,3:parataxis,_,1.0
56301,211936,"On ne pensait pas qu'ils allaient annoncer de façon aussi fanfaronne qu'ils mettaient fin à des travaux qui, de toute façon, sont déjà arrêtés, le temps de l'élection», s'est ",exclamé, M. Roy.,39.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,3.0,parataxis,3:parataxis,_,2.0
61516,231910,Une sanction hallucinante s'est ,exclamé, Me Molla.,6.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
101451,382740,"Peu importe s'il ne peut pas s'entraîner, du moment qu'il peut faire des mêlées samedi s'est ",exclamé, l'entraîneur du XV de France.,22.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,3.0
103530,390512,"Il y en a des bonnes nouvelles là-dedans», s'est ",exclamé," le ministre Philippe Couillard, aujourd'hui lors d'une rencontre avec la presse à Montréal.",15.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,4.0,parataxis,4:parataxis,_,3.0
127539,481584,"Ça suffit, nous n'avons aucune obligation, même une vache laitière a ses limites"""", s'est notamment ",exclamé," le Zurichois Max Binder, ancien président du Conseil national.",23.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,3.0,parataxis,3:parataxis,_,1.0
136043,513653,"Il n'était pas question de guerre ni de troubles Mais pourquoi a-t-il fait le contraire par mauvaise foi ?"""", s'est ",exclamé, le chef de l'Etat centrafricain.,27.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,16.0,parataxis,16:parataxis,_,2.0
139546,526527,Enfin les langues régionales vont être reconnues s'est ,exclamé," le député NC Philipe Folliot tandis que Marc Le Fur, l'un des députés les plus en pointe dans la défense des langues régionales, s'est réjoui de """"quelque chose de positif"""".",10.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,5.0,parataxis,5:parataxis,_,2.0
142334,537361,"Nous devons gagner ensemble"""", s'est-elle ",exclamée,", tour à tour gagnée par l'émotion et farouchement combative.",10.0,exclamée,exclamer,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,2.0,parataxis,2:parataxis,SpaceAfter=No,3.0
146043,551013,"«Je me sens toujours bien à Lausanne même si la météo n'était pas bonne, je reviendrai», s'est ",exclamé," le Chinois, très exubérant sur le podium et vainqueur sans conteste à l'applaudimètre.",24.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,19.0,parataxis,19:parataxis,_,1.0
188276,710238,"Il aurait été impossibile d'organiser la Coupe du Monde en Allemagne en respectant la directive sur la durée du temps de travail"""", s'est ",exclamé, le ministre allemand.,28.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,4.0,parataxis,4:parataxis,_,2.0
188637,711541,"Un bijou brille à nouveau dans le trésor artistique de l'Allemagne"""", s'est ",exclamé," le ministre de la Culture, Bernd Neumann, ajoutant qu'il s'agissait d'un """"grand jour pour la culture en Allemagne"""".",17.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,3.0,parataxis,3:parataxis,_,1.0
191030,720769,"Mais, comme on dit, bienvenue chez les grands """", s'est ",exclamée," l'athlète de 24 ans. """" Pour moi, l'objectif c'était de faire une bonne natation et je suis sortie cinquième de l'eau.",15.0,exclamée,exclamer,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,7.0,parataxis,7:parataxis,_,1.0
212950,803165,"Il n'était pas question de guerre, ni de troubles Mais pourquoi a-t-il fait le contraire par mauvaise foi ?"""", s'est ",exclamé, le chef de l'Etat.,28.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,17.0,parataxis,17:parataxis,_,1.0
214700,809637,"Mettez le turbo!"""", s'est ",exclamé," Gilles Latapie, le président de la cour d'assises alors que l'accusé se perdait dans un long monologue.",10.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,2.0,parataxis,2:parataxis,_,1.0
216260,815376,"Où va l'idée de changement avec cet objectif"""", s'est ",exclamée," la candidate communiste, en soulignant à l'adresse des électeurs: """"le premier tour sert à affirmer vos luttes, vos idées, vos combats, vos valeurs"""".",15.0,exclamée,exclamer,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,3.0,parataxis,3:parataxis,_,3.0
236465,891559,"Le docteur, c'est comme le curé"""", s'est ",exclamé, l'une des femmes dont le père continuait à voir le Dr Joël Raboutait.,13.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,8.0,parataxis,8:parataxis,_,1.0
238462,898767,Quelle façon de finir cette superbe saison s'est ,exclamé," a déclaré le natif de Lexington, dans le Kentucky, un Etat plus connu pour ses pur-sang et le boxeur Mohammed Ali (alias Cassius Clay).",10.0,exclamé,exclamer,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,0.0,root,0:root,_,1.0
