Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
7292,27255,Je suis tiré de mon sommeil par la note aiguë d'une femme qui ,chante, et par des battements de mains.,15.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,13.0,acl:relcl,13:acl:relcl,_,1.0
21174,79385,"En octobre 1969, entre les expériences Blind Faith et Traffic, Grech enregistre deux morceaux en solo, Spending All My Days dans lequel il ",chante,", et l'instrumental Exchange And Mart.",27.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,16.0,acl:relcl,16:acl:relcl,SpaceAfter=No,1.0
26071,97688,"Le groupe est formé de Steven Wilson, qui compose, ",chante,", joue de la guitare, des claviers, enregistre et produit les albums, aidé par Richard Barbieri aux claviers, Colin Edwin à la basse et Chris Maitland à la batterie et aux percussions.",12.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,10.0,conj,10:conj,SpaceAfter=No,1.0
27566,103409,"Il monte régulièrement sur scène pour soutenir l'association """"Tout le monde ",chante, contre le cancer.,14.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,9.0,acl,9:acl,SpaceAfter=No,1.0
47808,180308,"Entre tendresse et notes festives, de quoi se donner envie de «Faire une p'tite fête entre copains», comme ",chante, l'artiste.,24.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,14.0,advcl,14:advcl,_,1.0
59747,224930,Un homme qui ,chante,", hommage à Félix Leclerc par Claud Michaud, présenté ce soir et samedi à 20 heures au Studio-théâtre de la Place des Arts.",4.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,2.0,acl:relcl,2:acl:relcl,SpaceAfter=No,1.0
83876,315258,"Dans un décor unique, d'égale lumière et de précise banalité, un fils, batteur amateur handicapé par un accident de voiture, et une mère qui ",chante, et joue du piano explorent les recoins apparemment insignifiants d'une relation qui ne l'est pas.,30.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,28.0,acl:relcl,28:acl:relcl,_,2.0
120458,455244,"Il reçut la mission de restaurer son diocèse de Rodez dévasté par les Barbares. """" L'erreur s'abîme sous le poids de la vérité qui l'accable """" ",chante, l'hymne de sa fête.,31.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,20.0,parataxis,20:parataxis,_,1.0
124987,472147,"Le siotantka (""""le bâton qui ",chante, en langue lakota) est la flûte des indiens des plaines des États-Unis.,8.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,6.0,acl:relcl,6:acl:relcl,SpaceAfter=No,1.0
134585,508303,"Elle cause de spiritualité ou d'amour loufoque, ",chante,", fait la percussion vocale, parvient à libérer l'énergie de sa voix, aller vers les graves, donner de la profondeur à son chant.",10.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,2.0,conj,2:conj,SpaceAfter=No,1.0
149545,564305,Richard Anthony : Ça fait 48 ans que je ,chante,", j'ai enregistré 600 chansons; bon bien sûr, seulement 21 d'entre elles ont été numéro 1. À présent, je préfère me reposer à Cannes où je vis bien confortablement avec ma femme.",10.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin,5.0,ccomp,5:ccomp,SpaceAfter=No,1.0
168292,634558,"Les marchands de bananes et d'oranges liquident leurs stocks en lançant leurs fruits dans la foule, tout le monde ",chante, et danse.,22.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,8.0,advcl,8:advcl,_,1.0
251129,946167,Quand la vie ,chante,", sa lumière s'installe.",4.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,9.0,advcl,9:advcl,SpaceAfter=No,2.0
258518,974368,"Les 12 et 13 juillet, des enfants et ados malades du cancer, venant de toute le France, sont les invités VIP du Festival « Tout le monde ",chante, » à Villefranche de Rouergue.,31.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,23.0,acl,23:acl,_,3.0
258563,974537,"Pour assurer la promotion du film, il obtient le concours de sa femme, Utada Hikaru, qui compose et ",chante, la chanson thème du film : Dareka no Negai ga Kanau Koro.,22.0,chante,cher,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,20.0,conj,20:conj,_,3.0
