Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
36053,135611,"Il constitue, avec l'artère hépatique propre et la Veine ",porte,", le pédicule hépatique.",12.0,porte,porte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,6.0,conj,6:conj,SpaceAfter=No,2.0
76147,286775,Le redressement ne ,porte, ainsi que sur une grosse moitié des 3 millions d'euros de primes identifiées par les enquêteurs depuis 2000.,4.0,porte,porte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
120379,454981,Le chapitre est l'unité élémentaire sur laquelle ,porte, l'autorisation budgétaire annuelle donnée par le Parlement.,9.0,porte,porte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,5.0,acl:relcl,5:acl:relcl,_,1.0
130441,492408,Ces mêmes décrets déterminent pour chacune des espèces végétales les éléments de la plante sur lesquels ,porte, le droit de l'obtenteur.,17.0,porte,porte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,11.0,acl:relcl,11:acl:relcl,_,1.0
147021,554744,La politique conventionnelle menée par le Comité économique des produits de santé ,porte, elle aussi ses fruits.,13.0,porte,porte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
166592,628154,Ainsi notre ré flexion ,porte, autant sur la question de la valeur du savoir que sur les rapports au savoir de l'enseignant et de l'apprenant.,5.0,porte,porte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
174529,658337,"Un abaque est la partie supérieure du chapiteau des colonnes, sur laquelle ",porte, l'architrave.,14.0,porte,porte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,5.0,acl:relcl,5:acl:relcl,_,1.0
192241,725245,Elle a fait connaître ses propositions afin que la loi de financement pour 2000 marque une première avancée en ce sens et elle souhaite que le débat parlementaire et public ,porte, désormais sur ces questions fondamentales.,31.0,porte,porte,VERB,VERB,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,24.0,ccomp,24:ccomp,_,2.0
199855,754332,Ils doivent alors subir un examen de vérification des connaissances correspondant aux années d'études sur lesquelles ,porte, la dispense de scolarité.,18.0,porte,porte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,13.0,acl:relcl,13:acl:relcl,_,1.0
246908,930488,L'étude ,porte, soit sur le domaine trans-membranaire natif soit sur le domaine mutant (V664E) et permet de suivre finement cette interaction sur des domaines de temps intéressants (qq ns).,3.0,porte,porte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,1.0
250431,943592,Tout autant que celle du quatrième bleu des Bleus qui ,porte, lui encore les couleurs du Losc.,11.0,porte,porte,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,7.0,acl:relcl,7:acl:relcl,_,1.0
