Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
7420,27755,"Mais grace à la magie des jurées on peut s'attendre à tous Trois types pas trop riches contre une énorme boîte, y'a moyen que ça ",marche,", c'est beau la justice américaine.",29.0,marche,marche,VERB,VERB,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,25.0,ccomp,25:ccomp,SpaceAfter=No,1.0
7788,29058,"Il serait donc plus intéressant de continuer à développer une offre """"qui ",marche," et qui rapporte, plutôt que de """"foncer"""" dans la fibre où les services dédiés (HD, VoD-HD, visio-conférence,...) se comptent actuellement au compte-goutte.",14.0,marche,marche,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,11.0,amod,11:amod,SpaceAfter=No,1.0
16069,60082,"Nous avons fait des déplacements fructueux, car nous avons appris dans ces pays ce qui marche et ce qui ne ",marche," pas chez eux en matière de démocratie"""", ont témoigné nos interlocuteurs.",17.0,marche,marche,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,15.0,acl:relcl,15:acl:relcl,_,1.0
16071,60082,"Nous avons fait des déplacements fructueux, car nous avons appris dans ces pays ce qui ",marche," et ce qui ne marche pas chez eux en matière de démocratie"""", ont témoigné nos interlocuteurs.",17.0,marche,marche,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,15.0,acl:relcl,15:acl:relcl,_,1.0
17996,67436,"Mais va sur le site, il ",marche," bien, je n'ai pas rencontrer de bug (je fais surement parti de la minorité ultra chanceuse), en plus ils pensent aux utilisateurs mac et linux dès aujourd'hui avec un message clair.",8.0,marche,marche,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,2.0,advcl,2:advcl,_,2.0
21780,81497,Morty : Consultation d'archives de la tribune ,marche, pas : La page que vous avez demandé est inconnue.,9.0,marche,marche,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,0.0,root,0:root,_,2.0
59540,224140,"La prévention, toujours la prévention « C'est ce qui ",marche," le mieux », nous dit notre interlocutrice.",12.0,marche,marche,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,10.0,acl:relcl,10:acl:relcl,_,1.0
79464,298869,"Rembrandt et l'art de la gravure - Exposition au Musée du Louvre (Paris, 17-19 juin 2000) """"L'homme qui ",marche,", de Rodin à Mimram"""" - Exposition au Palais-Royal (20 mars - 12 juin 2000)",27.0,marche,marche,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,25.0,acl:relcl,25:acl:relcl,SpaceAfter=No,2.0
89435,336827,"J'oubliais : si tu peux te déplacer dans la classe, un truc tout bête mais qui ",marche," pas mal : en faisant ton cours, tu te rapproches de ceux qui bavardent ou semblent inattentifs.",19.0,marche,marche,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,16.0,conj,16:conj,_,2.0
90398,340579,Notre intention n'est pas de trafiquer quelque chose qui ,marche," déjà"""", avait expliqué récemment à l'AFP un ingénieur de Facebook, Mark Slee.",11.0,marche,marche,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,9.0,acl:relcl,9:acl:relcl,_,1.0
