sent_id	left_context	pivot	right_context
0	Carles li reis, nostre emperere magnes, Set anz tuz pleins ad 	estet	 en Espaigne : 
1	Tresqu'en la mer 	cunquist	 la tere altaigne. 
10	Sur un perrun de marbre bloi se 	culchet	 ; 
100	De sun aveir vos voelt asez duner, Urs e leuns e veltres enchaignez, Set cenz cameilz e mil hosturs muez, D'or e d'argent.IIII. cenz muls trussez, Cinquante care que carïer en 	ferez	 ; 
100	De sun aveir vos voelt asez duner, Urs e leuns e veltres enchaignez, Set cenz cameilz e mil hosturs muez, D'or e d'argent.IIII. cenz muls trussez, Cinquante care que 	carïer	 en ferez ; 
100	De sun aveir vos voelt asez duner, Urs e leuns e veltres enchaignez, Set cenz cameilz e mil hosturs muez, D'or e d'argent.IIII. cenz muls 	trussez	, Cinquante care que carïer en ferez ; 
100	De sun aveir vos voelt asez duner, Urs e leuns e veltres 	enchaignez	, Set cenz cameilz e mil hosturs muez, D'or e d'argent.IIII. cenz muls trussez, Cinquante care que carïer en ferez ; 
101	Tant i avrat de besanz esmerez, Dunt bien purrez voz soldeiers 	luer	 ; 
101	Tant i avrat de besanz 	esmerez	, Dunt bien purrez voz soldeiers luer ; 
101	Tant i 	avrat	 de besanz esmerez, Dunt bien purrez voz soldeiers luer ; 
102	En cest païs avez 	estet	 asez ; 
103	En France, ad Ais, devez bien 	repairer	. 
104	La vos sivrat, ço 	dit	, mis avoez. » 
104	La vos 	sivrat	, ço dit, mis avoez. » 
105	Li empereres 	tent	 ses mains vers Deu, 
106		Baisset	 sun chef, 
107	si cumencet a 	penser	. 
107	si 	cumencet	 a penser. 
108	Li empereres en 	tint	 sun chef enclin. 
11	Il en 	apelet	 e ses dux e ses cuntes : 
110	Sa custume est qu'il 	parolet	 a leisir. 
111	Quant se redrecet, mult par 	out	 fier lu vis ; 
111	Quant se 	redrecet	, mult par out fier lu vis ; 
112		Dist	 as messages : 
113	« Vus avez mult ben 	dit	. 
115	De cez paroles que vos avez ci 	dit	, En quel mesure en purrai estre fiz ? 
116	- Voet par hostages, ço dist li Sarrazins, Dunt vos 	avrez	 u dis u quinze u vint. 
116	- Voet par hostages, ço 	dist	 li Sarrazins, Dunt vos avrez u dis u quinze u vint. 
116	- 	Voet	 par hostages, ço dist li Sarrazins, Dunt vos avrez u dis u quinze u vint. 
117	Pa num d'ocire i 	metrai	 un mien filz 
117	Pa num d'	ocire	 i metrai un mien filz 
118	E sin avrez, ço 	quid	, de plus gentilz. 
118	E sin 	avrez	, ço quid, de plus gentilz. 
119	Quant vus serez el palais seignurill, A la grant feste seint Michel del Peril, Mis avoez la vos 	sivrat	, 
119	Quant vus 	serez	 el palais seignurill, A la grant feste seint Michel del Peril, Mis avoez la vos sivrat, 
12	« Oez, seignurs, quel pecchet nus 	encumbret	. 
12	« 	Oez	, seignurs, quel pecchet nus encumbret. 
120	ço 	dit	. 
121	Enz en voz bainz que Deus pur vos i fist, La vuldrat il chrestïens 	devenir	. » 
121	Enz en voz bainz que Deus pur vos i 	fist	, La vuldrat il chrestïens devenir. » 
122	Charles 	respunt	 : 
123	« Uncore purrat 	guarir	. » 
126	Les dis mulez fait Charles 	establer	. 
126	Les dis mulez 	fait	 Charles establer. 
127	El grant verger fait li reis 	tendre	 un tref, 
127	El grant verger 	fait	 li reis tendre un tref, 
128	Les dis messages ad fait enz 	hosteler	 ; 
129	.XII. serjanz les unt ben 	cunreez	 ; 
13	Li empereres Carles de France dulce En cest païs nos est venuz 	cunfundre	. 
13	Li empereres Carles de France dulce En cest païs nos est 	venuz	 cunfundre. 
130	La noit demurent tresque 	vint	 al jur cler. 
130	La noit 	demurent	 tresque vint al jur cler. 
131	Li empereres est par matin 	levet	, 
132	Messe e matines ad li reis 	escultet	. 
133	Desuz un pin en est li reis 	alez	, 
134	Ses baruns mandet pur sun cunseill 	finer	 : 
134	Ses baruns 	mandet	 pur sun cunseill finer : 
135	Par cels de France voelt il del tut 	errer	. 
136	Li empereres s'en 	vait	 desuz un pin ; 
137	Ses baruns mandet pur sun cunseill 	fenir	, Le duc Oger e l'arcevesque Turpin, Richard li Velz e sun nevold Henri, E de Gascuigne li proz quens Acelin, Tedbald de Reins e Milun sun cusin, 
137	Ses baruns 	mandet	 pur sun cunseill fenir, Le duc Oger e l'arcevesque Turpin, Richard li Velz e sun nevold Henri, E de Gascuigne li proz quens Acelin, Tedbald de Reins e Milun sun cusin, 
138	E si i 	furent	 e Gerers e Gerin ; 
139	Ensembl'od els li quens Rollant i 	vint	 E Oliver, li proz e li gentilz ; 
14	Jo nen 	ai	 ost qui bataille li dunne, 
140	Des Francs de France en i 	ad	 plus de mil ; 
141	Guenes i vint, ki la traïson 	fist	. 
141	Guenes i 	vint	, ki la traïson fist. 
142	Des ore cumencet le cunseill que mal 	prist	. 
142	Des ore 	cumencet	 le cunseill que mal prist. 
143	« Seignurs barons, 	dist	 li emperere Carles, Li reis Marsilie m'ad tramis ses messages. 
144	De sun aveir me voelt duner grant masse, Urs e leuns e veltres caeignables, Set cenz cameilz e mil hosturs muables, Quatre cenz muls 	cargez	 de l'or d'Arabe, Avoec iço plus de cinquante care. 
145	Mais il me mandet que en France m'en 	alge	, 
145	Mais il me 	mandet	 que en France m'en alge, 
146	Il me 	sivrat	 ad Ais, a mun estage, 
147	Si 	recevrat	 la nostre lei plus salve ; 
15	Ne n'ai tel gent ki la sue 	derumpet	. 
15	Ne n'	ai	 tel gent ki la sue derumpet. 
150	Mais jo ne 	sai	 quels en est sis curages. » 
151		Dient	 Franceis : 
153	Li empereres out sa raisun 	fenie	. 
154	Li quens Rollant, ki ne l'otriet mie, En piez se 	drecet	, 
154	Li quens Rollant, ki ne l'	otriet	 mie, En piez se drecet, 
155	si li 	vint	 cuntredire. 
156	Il 	dist	 al rei : 
157	« Ja mar 	crerez	 Marsilie ! 
158	Set anz ad pleins que en Espaigne 	venimes	 ; 
158	Set anz 	ad	 pleins que en Espaigne venimes ; 
16		Conseilez	 mei cume mi savie hume, 
160		Pris	 ai Valterne e la tere de Pine E Balasgued e Tuele e Sezilie : 
161	Li reis Marsilie i 	fist	 mult que traïtre, 
162	De ses paiens 	enveiat	 quinze, 
163	Chascuns 	portout	 une branche d'olive, 
165	A voz Franceis un cunseill en 	presistes	, 
167	Dous de voz cuntes al paien 	tramesistes	, 
169	Les chef en 	prist	 es puis desuz Haltilie. 
17	Si me 	guarisez	 e de mort e de hunte ! » 
170	Faites la guer cum vos l'avez 	enprise	, 
170		Faites	 la guer cum vos l'avez enprise, 
17018	Hom trovet lisant que Evax, li reis de Arabie, enveiat ad Neron, le emperur de Rume, un livre que il li escrist des natures des pieres, de lur manieres et de lur nuns et de lur culurs et en quele tere eles sunt et quele puissance eles 	unt	. 
17018	Hom trovet lisant que Evax, li reis de Arabie, enveiat ad Neron, le emperur de Rume, un livre que il li escrist des natures des pieres, de lur manieres et de lur nuns et de lur culurs et en quele tere eles 	sunt	 et quele puissance eles unt. 
17018	Hom trovet lisant que Evax, li reis de Arabie, 	enveiat	 ad Neron, le emperur de Rume, un livre que il li escrist des natures des pieres, de lur manieres et de lur nuns et de lur culurs et en quele tere eles sunt et quele puissance eles unt. 
17018	Hom trovet 	lisant	 que Evax, li reis de Arabie, enveiat ad Neron, le emperur de Rume, un livre que il li escrist des natures des pieres, de lur manieres et de lur nuns et de lur culurs et en quele tere eles sunt et quele puissance eles unt. 
17018	Hom 	trovet	 lisant que Evax, li reis de Arabie, enveiat ad Neron, le emperur de Rume, un livre que il li escrist des natures des pieres, de lur manieres et de lur nuns et de lur culurs et en quele tere eles sunt et quele puissance eles unt. 
17019	Mult hi sunt les vertuz 	cuvertes	, 
17020	mais les aies en veit hom bien 	apertes	. 
17020	mais les aies en 	veit	 hom bien apertes. 
17021	Li mirie i 	trovent	 granz aies a lur medecines, 
17022	et plusurs aises en vient a cels ki 	sevent	 ; 
17022	et plusurs aises en 	vient	 a cels ki sevent ; 
17023	ne nuls sages hom ne deit duter que Deus n'i ait mise grant vertut en pieres, altresi cume il 	at	 en herbes. 
17023	ne nuls sages hom ne deit duter que Deus n'i ait 	mise	 grant vertut en pieres, altresi cume il at en herbes. 
17023	ne nuls sages hom ne deit 	duter	 que Deus n'i ait mise grant vertut en pieres, altresi cume il at en herbes. 
17024	- Adamas est clere cume cristal, mais que ele ad colur de fer 	brunit	 ; 
17024	- Adamas est clere cume cristal, mais que ele 	ad	 colur de fer brunit ; 
17025	si la 	trovet	 l'um en Indie. 
17026	Ele est de si grant durece que ne par fer ne par fu ne pot estre depeciede ne en nule maniere, se ço n'est par le chaut sanc del buc, u hom la muillet, que hom la 	depiecet	 sur le enclume od malz ; 
17026	Ele est de si grant durece que ne par fer ne par fu ne pot estre depeciede ne en nule maniere, se ço n'est par le chaut sanc del buc, u hom la 	muillet	, que hom la depiecet sur le enclume od malz ; 
17026	Ele est de si grant durece que ne par fer ne par fu ne pot estre depeciede ne en nule maniere, se ço n'	est	 par le chaut sanc del buc, u hom la muillet, que hom la depiecet sur le enclume od malz ; 
17026	Ele est de si grant durece que ne par fer ne par fu ne pot estre 	depeciede	 ne en nule maniere, se ço n'est par le chaut sanc del buc, u hom la muillet, que hom la depiecet sur le enclume od malz ; 
17026	Ele 	est	 de si grant durece que ne par fer ne par fu ne pot estre depeciede ne en nule maniere, se ço n'est par le chaut sanc del buc, u hom la muillet, que hom la depiecet sur le enclume od malz ; 
17027	et des agues pieres ki en fruissent 	entaillet	 hom les altres gemes. 
17027	et des agues pieres ki en 	fruissent	 entaillet hom les altres gemes. 
17029	Et en Arabie 	ad	 une maniere de adamas ki n'est mie si dure, 
17030	kar hom la pot 	depecier	 senz sanc de buc. 
