sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
fr-ud-dev_00081,"L'extension de la ligne 7 du métro de New York est étroitement liée au ré-aménagement de l'Hudson Yards, elle a pour but d'étendre l'IRT Flushing Line, vers l'ouest à ",partir, de son terminus actuel à Times Square. ,39,partir,partir,VERB,_,VerbForm=Inf,38,fixed,_,InIdiom=Yes,1
fr-ud-dev_00190,À ,partir, de 1882 il obtient divers diplômes ecclésiastiques. ,2,partir,partir,VERB,_,VerbForm=Inf,1,fixed,_,InIdiom=Yes,-1
fr-ud-dev_00379,"Le club connut plusieurs adresses : 2 rue du Helder, 2 rue Drouot, 30 rue de Gramont, 1 rue Scribe à ",partir, de 1863 avant de s'intaller en 1925 à son adresse actuelle. ,26,partir,partir,VERB,_,VerbForm=Inf,25,fixed,_,InIdiom=Yes,1
fr-ud-dev_00448,"Les cérémonies en l'honneur du Seigneur du Ciel débutent traditionnellement par un culte domestique et des pétards dès le début du neuvième jour, c'est-à-dire à ",partir, de onze heures du soir selon le décompte traditionnel des heures. ,31,partir,partir,VERB,_,VerbForm=Inf,30,fixed,_,InIdiom=Yes,1
fr-ud-dev_00530,Selon Alan « Dave m'a contacté il y ,a, quelques semaines et m'a demandé si je serais prêt à les rejoindre sur scène. ,6,a,avoir,AUX,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,7,aux:tense,_,_,1
fr-ud-dev_00561,Il évolue au poste de Talonneur au sein du club français de l'ASM Clermont Auvergne à ,compter, de 2010 après quatre saisons avec les Crusaders de Nouvelle-Zélande. ,21,compter,compter,VERB,_,VerbForm=Inf,20,fixed,_,InIdiom=Yes,3
fr-ud-dev_00604,"Ses clubs successifs furent l'AS Philotechnique en 1925, puis surtout l'Alsacienne Lorraine Paris à ",partir, de 1926. ,18,partir,partir,VERB,_,VerbForm=Inf,17,fixed,_,InIdiom=Yes,-1
fr-ud-dev_00899,"Des liens financiers avec les nazis existaient depuis 1936, quand le ministre des Finances allemand Hjalmar Schacht avait rendu visite au prince pour mettre en place un montage financier à ",partir, de banques allemandes. ,34,partir,partir,VERB,_,VerbForm=Inf,33,fixed,_,InIdiom=Yes,1
fr-ud-dev_00946,"Le Peugeot Expert et le Citroën Jumpy (appelé Citroën Dispatch sur le marché britannique) est produit, comme leur jumeaux Fiat Scudo, à l'usine SEVEL nord à ",partir, de 1995. ,32,partir,partir,VERB,_,VerbForm=Inf,31,fixed,_,InIdiom=Yes,-1
fr-ud-dev_01005,L'action se déroule à ,partir," du port de Dutch Harbor, premier port de pêche des États-Unis et zone industrielle de la ville d'Unalaska située sur l'île d'Unalaska dans les Aléoutiennes occidentales de l'état d'Alaska. ",6,partir,partir,VERB,_,VerbForm=Inf,5,fixed,_,InIdiom=Yes,1
fr-ud-dev_01043,"Peu à peu, tous les versants des sommets des Alpes sont gravis, y ",compris, les inquiétantes faces nord. ,18,compris,comprendre,VERB,_,Gender=Masc|Tense=Past|VerbForm=Part|Voice=Pass,17,fixed,_,InIdiom=Yes,3
fr-ud-dev_01088,"Le réseau routier est en bon état dans l'ensemble, même s'il a peu d'autoroutes (excepté autour de Bratislava, qui est relié à 4 autoroutes, y ",compris, vers Vienne). ,33,compris,comprendre,VERB,_,Gender=Masc|Tense=Past|VerbForm=Part|Voice=Pass,32,fixed,_,InIdiom=Yes,-1
fr-ud-dev_01157, Je lui ai parlé encore il y ,a," une heure, et nous étions tous évidemment dans l'expectative. ",9,a,avoir,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,7,fixed,_,InIdiom=Yes,-1
fr-ud-dev_01171,"Une étoile fixe (du latin stella fixa) est une notion participant de l'histoire de l'astronomie : cette expression désignait, durant l'Antiquité puis au Moyen Âge, les astres qui semblaient fixés à la voûte céleste, à ",savoir, les étoiles à l'exception du Soleil. ,46,savoir,savoir,VERB,_,VerbForm=Inf,45,fixed,_,InIdiom=Yes,1
fr-ud-dev_01182,"Outre les tendons dans les woks, ils restent on ne ",peut, plus basiques. ,12,peut,pouvoir,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,10,fixed,_,InIdiom=Yes,-1
fr-ud-dev_01186,"La terrasse est très agréable, le décor est saturé de symboles Marseillais avec beaucoup de références bien ",entendu, au célèbre film du duo d'acteurs. ,19,entendu,entendre,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,18,fixed,_,InIdiom=Yes,1
fr-ud-dev_01215,"Le premier tome figure un dessin du château qui est une belle et plausible reconstitution, si ce n'",est, qu'il a été dessiné inversé (gauche/droite) par rapport à la réalité ! ,11,est,être,AUX,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,16,cop,_,_,1
fr-ud-dev_01262,La LH fut réservée au circuit du Mans à ,partir, de 1970. ,12,partir,partir,VERB,_,VerbForm=Inf,11,fixed,_,InIdiom=Yes,-1
fr-ud-dev_01266,Compte ,tenu," également du niveau des investissements, c'est aussi le démarrage du règne des grandes entreprises qui sont capables d'intégration verticale et/ou de spécialisation. ",2,tenu,tenir,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,1,fixed,_,InIdiom=Yes,0
fr-ud-dev_01298,Il a été son rédacteur en chef à ,partir," de 1983, tout en continuant à y dessiner. ",9,partir,partir,VERB,_,VerbForm=Inf,8,fixed,_,InIdiom=Yes,-1
fr-ud-dev_01324,Il est dommage de constater que les photos satellite de la ville date d'il y ,a, plus de 3 ans ! ,17,a,avoir,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,15,fixed,_,InIdiom=Yes,1
fr-ud-dev_01331,"De sensibilité anarchiste, il publie également des dessins dans l'Assiette au beurre à ",partir," de 1901, puis collabore avec de nombreux journaux libertaires et antimilitaristes, parmi lesquels Les Temps nouveaux, La Guerre sociale et les Hommes du jour, pour lequel il réalisera près de cent-cinquante couvertures. ",17,partir,partir,VERB,_,VerbForm=Inf,16,fixed,_,InIdiom=Yes,1
fr-ud-dev_01482,La colonisation d'un territoire immense à ,partir," des côtes explique également cette structure : c'est bien sûr le cas des États-Unis d'Amérique, mais aussi du Brésil et de l'Australie. ",8,partir,partir,VERB,_,VerbForm=Inf,7,fixed,_,InIdiom=Yes,1
fr-ud-test_00029,Il y ,a, un an naissait Gdem Izik. ,3,a,avoir,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,1,fixed,_,InIdiom=Yes,-1
fr-ud-test_00240,Ils m'ont dit que c'est un système de sécurité quand tu tournes le volant au maximum.... N',importe," quoi... Par contre, ils sont excellent pour 'bullshitter'. ",22,importe,importer,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,21,fixed,_,InIdiom=Yes,-1
fr-ud-train_00073,À ,partir," du XXIe siècle, les recensements réels des communes de moins de 10 000 habitants ont lieu tous les cinq ans. ",2,partir,partir,VERB,_,VerbForm=Inf,1,fixed,_,InIdiom=Yes,-1
fr-ud-train_00175,"La pyramide des âges, à ",savoir," la répartition par sexe et âge de la population, de la commune de Artenay en 2009 ainsi que, comparativement, celle du département du Loiret la même année, sont représentées avec les graphiques ci-dessous. ",8,savoir,savoir,VERB,_,VerbForm=Inf,7,fixed,_,InIdiom=Yes,1
fr-ud-train_00177,« Le tissu socio-économique est dans un tel état que n',importe, quelle source de revenus est la bienvenue. ,12,importe,importer,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,11,fixed,_,InIdiom=Yes,0
fr-ud-train_00193,Le morceau titre contient une narration tragi-comique improvisée à ,partir, d'un thème par Jean Shepherd. ,10,partir,partir,VERB,_,VerbForm=Inf,9,fixed,_,InIdiom=Yes,1
fr-ud-train_00200,À ,partir," de 1977, les actions de sabotage de cette dernière sont plus nombreux et certains d'entre eux, meurtriers. ",2,partir,partir,VERB,_,VerbForm=Inf,1,fixed,_,InIdiom=Yes,-1
fr-ud-train_00245,"Lorsqu'on voit la difficulté que l'on a aujourd'hui à lire une simple disquette 5,25 pouces alors que ce support existait couramment il y ",a," une vingtaine d'années seulement, on peut craindre le pire. ",8,a,avoir,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,5,acl:relcl,_,_,1
fr-ud-train_00254,"Deux tombeaux furent creusés pour le roi, dans la falaise à ",partir, d'un temple qui comportait également une cour à portiques et une salle hypostyle. ,13,partir,partir,VERB,_,VerbForm=Inf,12,fixed,_,InIdiom=Yes,1
fr-ud-train_00297,Étant ,donné," que sa composition reflète celle du Congrès et son mode de fonctionnement, il est parfois appelé « gouvernement collégial ». ",2,donné,donner,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,1,fixed,_,InIdiom=Yes,-1
fr-ud-train_00361,La cellule mobile d'intervention chimique est également intervenue étant ,donné, la nature de l'activité de la société sinistrée. ,11,donné,donner,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,10,fixed,_,InIdiom=Yes,1
fr-ud-train_00662,"Le sushi à la mayonnaise, c'est aussi palpitant qu'un pot au feu au ketchup ou une blanquette de veau avec de la sauce soja : c'est pas inventif, c'est n'",importe, quoi. ,39,importe,importer,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,38,fixed,_,InIdiom=Yes,-1
fr-ud-train_01129,"Par exemple, une marche empruntant les trois premières notes du motif en croix se reproduit huit fois de suite à ",partir, de la mesure 47. ,23,partir,partir,VERB,_,VerbForm=Inf,22,fixed,_,InIdiom=Yes,1
fr-ud-train_01172,80% des importations sont des produits manufacturés à ,partir, des matières préalablement exportées. ,11,partir,partir,VERB,_,VerbForm=Inf,10,fixed,_,InIdiom=Yes,1
