sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
fr-ud-dev_00018,"Johnson s'appuyait sur une unique forme de rhétorique, et sa « réfutation » de l'immatérialisme de George Berkeley est restée célèbre : Berkeley affirmait que la matière n'existait pas mais semblait seulement ",exister, ; ,37,exister,exister,VERB,_,VerbForm=Inf,35,xcomp,_,Subject=SubjRaising,-1
fr-ud-dev_00035,Cette force résulte de la faible poussée exercée par la restitution sous forme de rayonnement infrarouge de l'énergie solaire ,absorbée,. ,21,absorbée,absorber,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,19,acl,_,SpaceAfter=No,-1
fr-ud-dev_00045,"Historiquement rattachée au diocèse de Saint-Omer, on trouve trace ",écrite," de """"Sanctus Georgius"""" en 1178. ",12,écrite,écrire,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,11,acl,_,_,0
fr-ud-dev_00047,"Pour sa saison de rookie, il entre au cours de deux matchs mais ne réussi qu'une seule passe sur six ",tentées,. ,24,tentées,tenter,VERB,_,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,23,acl,_,SpaceAfter=No,-1
fr-ud-dev_00081,"L'extension de la ligne 7 du métro de New York est étroitement liée au ré-aménagement de l'Hudson Yards, elle a pour but d'étendre l'IRT Flushing Line, vers l'ouest à ",partir, de son terminus actuel à Times Square. ,39,partir,partir,VERB,_,VerbForm=Inf,38,fixed,_,InIdiom=Yes,1
fr-ud-dev_00084,"Lorsqu'elle m'a examiné, elle a appuyé comme une malade à l'endroit de l'opération et en me voyant ",crier,", elle en a finalement déduit qu'il fallait que je retourne à l'hopital. ",23,crier,crier,VERB,_,VerbForm=Inf,22,xcomp,_,SpaceAfter=No|Subject=ObjRaising,1
fr-ud-dev_00119,Ces institutions prêtent à leur tour l'argent ,reçu, à des habitants du pays dans lequel elles opèrent. ,9,reçu,recevoir,VERB,_,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,8,acl,_,_,1
fr-ud-dev_00127,Son interprétation dans la série ,télévisée, Amir Kabir lui a valu l'acclamation des téléspectateurs ainsi que des critiques. ,6,télévisée,téléviser,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,5,acl,_,_,1
fr-ud-dev_00145,"L euro de La Réunion, comme chacune des autres pièces, dispose dune face ",personnalisée, reprenant le drapeau de la région. ,18,personnalisée,personnaliser,VERB,_,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,17,acl,_,_,1
fr-ud-dev_00149,C'est Au Bonheur du Jour qu'il faut ,aller," : on trouve toujours quelque chose à offrir, pas commun, et qui fera plaisir ! ",12,aller,aller,VERB,_,VerbForm=Inf,11,ccomp,_,Subject=Generic,1
