sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
116,- ,Voet," par hostages, ço dist li Sarrazins, Dunt vos avrez u dis u quinze u vint. ",2,Voet,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_58_01265,-1
12,« ,Oez,", seignurs, quel pecchet nus encumbret. ",2,Oez,_,VERB,VERcjg,VerbForm=Fin,0,root,_,SpaceAfter=No|XmlId=w_58_00129,-1
143,"« Seignurs barons, ",dist," li emperere Carles, Li reis Marsilie m'ad tramis ses messages. ",5,dist,_,VERB,VERcjg,VerbForm=Fin,15,parataxis,_,XmlId=w_58_01563,1
17018,"Hom trovet lisant que Evax, li reis de Arabie, ",enveiat," ad Neron, le emperur de Rume, un livre que il li escrist des natures des pieres, de lur manieres et de lur nuns et de lur culurs et en quele tere eles sunt et quele puissance eles unt. ",12,enveiat,_,VERB,VERcjg,VerbForm=Fin,2,ccomp,_,XmlId=w_273_0030,0
17194,"Mais la neire, si hom la portet en meesme la maniere, ",aiet," a home a parfaire granz choses, si il les cumencet ; ",14,aiet,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_273_2046,1
17197,"Icele meesme, liede en linge drap teint en safran, ",toult," bien la fievre, ",12,toult,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_273_2095,1
17197,"Icele meesme, ",liede," en linge drap teint en safran, toult bien la fievre, ",4,liede,_,VERB,VERppe,Tense=Past|VerbForm=Part,1,acl,_,XmlId=w_273_2087,-1
17214,"et, si cume hom dit, ",esprovet, virginitét. ,8,esprovet,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_273_2281,-1
17223,"e bien est seut que cil ki vult saveir si sa femme est avultre u nun, ",metet, la magnete suz le chief sa femme quant ele dormirat ; ,18,metet,_,VERB,VERcjg,VerbForm=Fin,4,csubj,_,XmlId=w_273_2402,1
225,« ,Laisez, ester voz Francs ! ,2,Laisez,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_58_02327,-1
