,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
7,142,Des ore ,cumencet, le cunseill que mal prist. ,3,cumencet,_,VERB,VERcjg,VerbForm=Fin,0,root,_,XmlId=w_58_01550,1
8,143,"« Seignurs barons, ",dist," li emperere Carles, Li reis Marsilie m'ad tramis ses messages. ",5,dist,_,VERB,VERcjg,VerbForm=Fin,15,parataxis,_,XmlId=w_58_01563,1
29,17109,mais cele ki les treis culurs ad bien devisees e nient ,entremellees,", cele est la mielz preisede, ",12,entremellees,_,VERB,VERppe,Tense=Past|VerbForm=Part,9,conj,_,SpaceAfter=No|XmlId=w_273_1134,2
30,17109,mais cele ki les treis culurs ad bien ,devisees," e nient entremellees, cele est la mielz preisede, ",9,devisees,_,VERB,VERppe,Tense=Past|VerbForm=Part,6,acl,_,XmlId=w_273_1131,2
43,17173,et fet hume bien ,parlaunt," et amét, ",5,parlaunt,_,VERB,VERcjg,VerbForm=Fin,2,xcomp,_,XmlId=w_273_1779,1
48,17203,Quant ele est eschaufee par ,freier,", si atrait la paille ki prof li est. ",6,freier,_,VERB,VERinf,VerbForm=Inf,4,xcomp,_,SpaceAfter=No|XmlId=w_273_2156,3
59,17227,Si li leres entret en une meisun pur ,embler," e il metet en la meisun par l'uis vifs charbuns et il metet desus la puldre del magnete isi que li fum voist encuntre munt par quatre aungles, tuit icil ki serrunt en la maisun s'en fuirunt, altresi cum si la maisun volsist chaier, ",9,embler,_,VERB,VERinf,VerbForm=Inf,4,advcl,_,XmlId=w_273_2464,1
61,17231,Se hom le dunet a ,beivre," od mulse, si expurget ydrope, ",6,beivre,_,VERB,VERinf,VerbForm=Inf,4,xcomp,_,XmlId=w_273_2548,1
64,17240,"kar, cum ",dient," les aucturs, Zoraster et Metrodorus, ele osted fuildre e tempeste, ",4,dient,_,VERB,VERcjg,VerbForm=Fin,13,advcl,_,XmlId=w_273_2638,2
86,234,"« Francs chevalers, ",dist," li emperere Carles, Car m'eslisez un barun de ma marche Qu'a Marsiliun me portast mun message. » ",5,dist,_,VERB,VERcjg,VerbForm=Fin,12,parataxis,_,XmlId=w_58_02407,1
88,251,Se Deus ço dunet que jo de la ,repaire,", Jo t'en muvra une si grant contraire Ki durerat a trestut tun edage. » ",9,repaire,_,VERB,VERcjg,VerbForm=Fin,3,acl,_,SpaceAfter=No|XmlId=w_58_02562,2
90,256,Si li reis ,voelt,", prez sui por vus le face ! » ",4,voelt,_,VERB,VERcjg,VerbForm=Fin,6,advcl,_,SpaceAfter=No|XmlId=w_58_02612,2
109,312,"Esperuns d'or ad en ses piez fermez, ",Ceint," Murglies, s'espee, a sun costed ; ",10,Ceint,_,VERB,VERcjg,VerbForm=Fin,8,conj,_,XmlId=w_58_03124,2
112,319,Ki ço jugat que doüsez ,aler, Par Charlemagne n'ert guariz ne tensez. ,6,aler,_,VERB,VERinf,VerbForm=Inf,2,acl,_,XmlId=w_58_03191,1
116,34,Par num d',ocire, i enveierai le men. ,4,ocire,_,VERB,VERinf,VerbForm=Inf,2,acl,_,XmlId=w_58_00369,1
135,3864,"Se li felon de cest'enor, Por qui jadis vos conbatistes O le Morhout, quant l'oceïstes, Li font acroire (ce me senble) Que nos amors ",jostent," ensenble, Sire, vos n'en avez talent ; ",32,jostent,_,VERB,VERcjg,VerbForm=Fin,23,ccomp,_,XmlId=w_26_00176,1
142,3881,"S'or en savoit li rois un mot, Mon cors seret ",desmenbré," tot, ",13,desmenbré,_,VERB,VERppe,Tense=Past|VerbForm=Part,0,root,_,XmlId=w_26_00404,1
144,3895,"Mais l'en puet home desveier, ",Faire, mal faire et bien laisier : ,8,Faire,_,VERB,VERinf,VerbForm=Inf,6,conj,_,XmlId=w_26_00578,3
148,3905,Or set que bien ,istront, de ci. ,5,istront,_,VERB,VERcjg,VerbForm=Fin,2,ccomp,_,XmlId=w_26_00662,1
161,3957,S'un mot en puet li rois oïr Que nos fuson ça ,asenblé,", Il me feroit ardoir en ré. ",13,asenblé,_,VERB,VERppe,Tense=Past|VerbForm=Part,3,dislocated,_,SpaceAfter=No|XmlId=w_26_01318,1
212,4147,"Ce saciez, sire, sanz doutance, Je li feïse l'aquitance, Se je ",osase,", volentiers ; ",17,osase,_,VERB,VERcjg,VerbForm=Fin,11,advcl,_,SpaceAfter=No|XmlId=w_26_03219,1
251,4308,Qui porpensa tel felonie Con ,fist," cist nain, qui Dex maudie ? ",6,fist,_,VERB,VERcjg,VerbForm=Fin,4,acl,_,XmlId=w_26_04703,1
