,# sent,# sent successif,% sent,% sent successif,filtered
all,2255.0,2255.0,100.0,100.0,
no_obj,197,197,8.74,8.74,"En mai, les gardes-frontières tchèques ont fusillé deux fermiers allemands des Sudètes qui tentaient de traverser la frontière en Tchécoslovaquie sans s';;arrêter;; aux contrôles aux frontières. "
in_both,620,105,27.49,4.66,"Cela signifie qu’ils n’ont pas bénéficié de la hausse du prix des actifs à l’étranger, ;;provoquée;; par la baisse de la livre sterling. "
one_percent,439,57,19.47,2.53,"Le gouvernement fédéral communique de façon proactive les niveaux de bonus et les primes de rendement globaux pour chaque département, mais le site web est ;;périmé;; de deux ans ; sa dernière mise à jour date de 2013-2014. "
out_idiom,2255.0,57.0,100.0,2.53,
something,2127,36,94.32,1.6,Le tératome sacro-coccygien est une tumeur qui se ;;développe;; avant la naissance et qui progresse à partir du coccyx. 
not_fixed,2208,36,97.92,1.6,"La deuxième région royale des Pouilles et de la Calabre a ensuite été établie, y ;;compris;; le Samnium, certaines zones de la région Molise et de la basilique orientale. "
too_close,1457,12,64.61,0.53,Nous avons une super équipe et c'est une occasion de l';;emmener;; plus loin. 
five_or_more,144,5,6.39,0.22,"Il peut se définir au mieux comme position naïve ; au pire, les tenants du lobby des armes à feu se sont une fois de plus ;;tirés;; d’affaire. "
no_pass,2255.0,5.0,100.0,0.22,
no_pron,2155,5,95.57,0.22,Même si la plupart des situations qui se présentaient en entreprise finissaient par se ;;résoudre;; sans conflit. 
