,# sent,# sent successif,% sent,% sent successif,filtered
all,2041681.0,2041681.0,100.0,100.0,
no_obj,265356,265356,13.0,13.0,Ce retard ;;menace;; de ternir la mise en service du nouveau métro M2.
in_both,2017103,257737,98.8,12.62,La cité sera ;;rebatie;; sur un site différent à quelque distance du lieu originel.
one_percent,117291,26390,5.74,1.29,"Jusqu'à présent, les fluctuations des taux de change sont restées ;;ordonnées;; et conformes aux paramètres fondamentaux"""", a déclaré M. Rato devant le Conseil des gouverneurs du FMI."
out_idiom,2041681.0,26390.0,100.0,1.29,
something,1804469,13341,88.38,0.65,"Si encore il s'agissait d'une activité ;;rémunérée;;, pourquoi pas, mais là il s'agit du travail de bénévoles, et le fait d'être un contributeur sérieux et impliqué n'amène aucune considération supplémentaire par rapport à un fâcheux."
not_fixed,1991794,13341,97.56,0.65,Il s';;agit;; de la seule obligation en ce qui concerne la composition.
too_close,1256076,6102,61.52,0.3,"La Canadienne Lorie Kane a ;;complété;; la journée à égalité au 51e rang, à 16 coups de la tête, après avoir présenté un 72, trois coups au-dessus de la normale."
five_or_more,1990255,6102,97.48,0.3,;;Sutilise;; en mastic Pistolable ou apprêt garnissant.
no_pass,1867958,5829,91.49,0.29,"Là, les Pictes furent ;;divisés;; en deux armées par Brude mac Bili."
no_pron,1924175,5582,94.24,0.27,Pas même un petit forum VIP pour se ;;retrouver;; sur la toile.
