sent_id	left_context	pivot	right_context
fr_partut-ud-3	La distribution de la présente version de ce contrat ne crée aucune relation juridique entre les parties au contrat 	présenté	 ci-après et Creative Commons. 
fr_partut-ud-5	Creative Commons ne saurait être tenu responsable des éventuels préjudices résultant du 	contenu	 ou de l'utilisation de ce contrat. 
fr_partut-ud-11	Selon les termes et les obligations du présent contrat, la partie offrante propose à la partie acceptante l'exercice de certains droits 	présentés	 ci-après, et l'acceptant en approuve les termes et conditions d'utilisation. 
fr_partut-ud-13	Aux termes de la présente autorisation, une oeuvre qui constitue une Oeuvre dite collective ne sera pas considérée comme une oeuvre dite derivée (telle que 	définie	 ci-après). 
fr_partut-ud-19	reproduire l'Oeuvre, incorporer l'Oeuvre dans une ou plusieurs oeuvres dites derivées et reproduire l'oeuvre telle qu'incorporée dans les 	dites	 oeuvres dites collectives; 
fr_partut-ud-20	créer et 	reproduire	 des oeuvres dites derivées; 
fr_partut-ud-21	distribuer des exemplaires ou enregistrements, présenter, représenter ou communiquer l'oeuvre au public par tout procédé technique, y 	compris	 incorporée dans des oeuvres collectives; 
fr_partut-ud-21	distribuer des exemplaires ou enregistrements, présenter, 	représenter	 ou communiquer l'oeuvre au public par tout procédé technique, y compris incorporée dans des oeuvres collectives; 
fr_partut-ud-21	distribuer des exemplaires ou enregistrements, 	présenter	, représenter ou communiquer l'oeuvre au public par tout procédé technique, y compris incorporée dans des oeuvres collectives; 
fr_partut-ud-22	Distribuer des exemplaires ou phonogrammes, présenter, 	représenter	 ou communiquer au public des oeuvres dites derivées par tout procédé technique; 
fr_partut-ud-22	Distribuer des exemplaires ou phonogrammes, 	présenter	, représenter ou communiquer au public des oeuvres dites derivées par tout procédé technique; 
fr_partut-ud-23	lorsque l'Oeuvre est une base de données, 	extraire	 et réutiliser des parties substantielles de l'oeuvre. 
fr_partut-ud-24	Les droits 	mentionnés	 ci-dessus peuvent être exercés sur tous les supports, médias, procédés techniques et formats. 
fr_partut-ud-28	L'autorisation accordée par l'article 3 est expressément 	assujettie	 et limitée par le respect des restrictions suivantes: 
fr_partut-ud-29	l'Acceptant ne peut pas offrir ou imposer de conditions d'utilisation de l'oeuvre qui 	altèrent	 ou restreignent les termes du présent contrat ou l'exercice des droits qui y sont accordés au bénéficiaire. 
