sent_id,left_context,pivot,right_context
fr_partut-ud-26,L'exercice de tous les droits qui ne sont pas expressément autorisés par l'offrant ou dont il n',aurait," pas la gestion demeure réservé, notamment les mécanismes de gestion collective obligatoire applicables décrits à l'article 4d. "
fr_partut-ud-29,l'Acceptant ne peut pas offrir ou imposer de conditions d'utilisation de l'oeuvre qui altèrent ou restreignent les termes du présent contrat ou l'exercice des droits qui y sont ,accordés, au bénéficiaire. 
fr_partut-ud-37,l'Acceptant ne peut pas offrir ou imposer de conditions d'utilisation sur l'oeuvre dite dérivée qui altèrent ou restreignent les termes du présent contrat ou l'exercice des droits qui y sont ,accordés," au bénéficiaire, et doit conserver intactes toutes les informations qui renvoient à ce contrat et à l'avertissement sur les garanties. "
fr_partut-ud-48,"À l'exception des garanties d'ordre public imposées par la loi applicable et des réparations imposées par le régime de la responsabilité vis-à-vis d'un tiers en raison de la violation des garanties prévues par l'article 5 du présent contrat, l'offrant ne sera en aucun cas tenu responsable vis-à-vis de l'acceptant, sur la base d'aucune théorie légale ni en raison de aucun préjudice direct, indirect, matériel ou moral, résultant de l'exécution du présent contrat ou de l'utilisation de l'oeuvre, y compris dans l'hypothèse où l'offrant ",avait, connaissance de la possible existence d'un tel préjudice. 
fr_partut-ud-71,Je déclare reprise la session du Parlement européen qui avait été interrompue le vendredi 17 décembre dernier et je vous ,renouvelle, tous mes voeux en espérant que vous avez passé de bonnes vacances. 
fr_partut-ud-73,"En attendant, je souhaiterais, comme un certain nombre de collègues me l'ont ",demandé,", que nous observions une minute de silence pour toutes les victimes, des tempêtes notamment, dans les différents pays de l'Union Européenne qui ont été touchés. "
fr_partut-ud-79,"Ne pensez-vous pas, madame la présidente, qu'il conviendrait d'écrire une lettre au président du Sri Lanka pour lui ",communiquer," que le parlement déplore les morts violentes, dont celle de M. Ponnambalam, et pour l'inviter instamment à faire tout ce qui est en son pouvoir pour chercher une réconciliation pacifique et mettre un terme à cette situation particulièrement difficile. "
fr_partut-ud-83,Je voudrais vous ,demander," un conseil au sujet de l'article 143, qui concerne l'irrecevabilité. "
fr_partut-ud-90,"Cependant, je vous ",demande,", conformément à l'orientation désormais constamment exprimée par le parlement européen et toute la communauté européenne, d'intervenir auprès du président et du gouverneur du Texas, monsieur Bush, en faisant jouer le prestige de votre mandat et de l'institution que vous représentez, car c'est monsieur Bush qui a le pouvoir de suspendre la condamnation à mort et de gracier le condamné. "
fr_partut-ud-94,"Madame la présidente, je voudrais attirer votre attention sur un cas dont s'est régulièrement ",occupé, le parlement. 
fr_partut-ud-97,"Nous savons, et nous l'avons d'ailleurs établi dans de très nombreuses résolutions - y compris lors de la dernière période de session de l'année dernière -, que ce cas n'est pas seulement de nature juridique et qu'il est faux d'accuser Alexandre Nikitin d'activité criminelle et de trahison car nous sommes concernés par ses résultats et nous en ",profitons,. 
fr_partut-ud-98,Ces résultats forment la base des programmes européens de protection de la mer de Barents et c'est pourquoi je vous prie d'examiner un projet de lettre vous ,dépeignant, les faits essentiels de cette affaire et de communiquer à la Russie la position qui découle des décisions du parlement. 
fr_partut-ud-102,Je vous ,demande, donc à nouveau de faire le nécessaire pour que nous puissions disposer d'une chaîne néerlandaise. 
fr_partut-ud-103,"Madame Plooij-Van Gorsel, je peux vous ",dire, que cette question est à l'ordre du jour de la réunion des questeurs de mercredi. 
fr_partut-ud-117,Les questions auxquelles on a ,répondu," précédemment se rapportaient à l'intervention de mme de Palacio dans un dossier précis, et non aux déclarations parues dans le journal Abc du 18 novembre dernier. "
fr_partut-ud-119,"Je vous avouerai que, pour le moment, les choses me ",semblent, un petit peu confuses. 
fr_partut-ud-119,Je vous ,avouerai," que, pour le moment, les choses me semblent un petit peu confuses. "
fr_partut-ud-130,Je vous ,rappelle," en outre, Madame la Présidente, que ce parlement a voté par deux fois la confiance au président Prodi lors dela précédente législature; "
fr_partut-ud-133,"En ce sens, je vous ",rappelle," la résolution du 15 septembre, laquelle recommandait que la proposition soit présentée dans les plus brefs délais. "
fr_partut-ud-140,"Madame la présidente, pour répondre aux rires que j'entends parmi les socialistes, on m'a ",dit," que de larges pans du groupe socialiste aimeraient également supprimer ce point de l'ordre du jour car lors du scrutin au sein de la conférence des présidents, les collègues responsables du groupe socialiste ne disposaient pas du vote du groupe de travail. "
fr_partut-ud-141,"Je ne sais si cette information est correcte mais quoi qu'il en soit, le groupe PPE-DE vous ",saurait, gré de supprimer ce point de l'ordre du jour car le parlement s'est en effet maintes fois saisi de cette question. 
fr_partut-ud-156,"Je vous saurai gré, à l'issue de ce point de l'ordre du jour, de me ",permettre, de fournir un explication de vote au nom de mon groupe. 
fr_partut-ud-156,Je vous ,saurai," gré, à l'issue de ce point de l'ordre du jour, de me permettre de fournir un explication de vote au nom de mon groupe. "
fr_partut-ud-158,Il serait utile de consigner au procès-verbal du parlement la manière dont les gens ,perçoivent," ce que nous venons de faire, à la lumière de leur propre analyse politique. "
fr_partut-ud-159,"Moi non plus, vous ne m'avez pas ",donné, la parole. 
fr_partut-ud-163,Il me ,semble, que c'est une bonne formule. 
fr_partut-ud-166,"Monsieur Cox, monsieur Hänsch, est-ce que cela vous ",convient,? 
fr_partut-ud-174,Le trafic de détournement qui en a ,résulté, a accablé des milliers de citoyens de l'Ue jusqu'aux limites du supportable. 
