sent_id	left_context	pivot	right_context
n01003007	5000 dollars par personne, le maximum 	autorisé	. 
n01004009	Plutôt que d'enseigner la méthode scientifique en tant qu'unité 	séparée	, par exemple, les étudiants apprennent le contenu scientifique en l'appliquant. 
n01005024	« Nous sommes confrontés à une forte concurrence, et nous pensons que les transports pourront 	aider	 » a déclaré Joe Sternlieb, le président du centre des affaires de Georgetown. 
n01009054	« Nous avons demandé à d'autres pays de nous aider à remplir le zoo de différentes espèces d'animaux, y 	compris	 d'un porc » a indiqué Saqib. 
n01010042	M. Panvalkar a dit qu'à un moment 	donné	, il a senti qu'ils devraient quitter l'immeuble. 
n01028022	Heureusement, quelqu'un chez Sony en Australie a dit: « 	Tiens	, à propos, vous avez vu ca ? » dit Pall. 
n01029007	Guitariste 	passionné	, il a participé à un concert la même année. 
n01051006	Le tératome sacro-coccygien est une tumeur qui se développe avant la naissance et qui progresse à 	partir	 du coccyx. 
n01054017	De nombreuses personnes, y 	compris	 des groupes indigènes, allèguent qu'ils banalisent la culture des Premières Nations. 
n01066045	En 2010, la fondation a publié une version 	dactylographiée	 de « Zettel's Traum, » éliminant l'obstacle à l'accès pour ceux qui renâclaient à l'aspect brouillon du document. 
n01075028	C'était comme s'il poussait le ballon d'avant en arrière par dessous 3 tasses 	renversées	. 
n01085011	Aussi surprenant que cela puisse 	paraître	, même les nuages de pluies acides pourraient conduire à des possibilités prometteuses. 
n01093007	Selon un représentant de l’UE : « Les stocks de cabillaud de la mer Celtique pourraient s’effondrer », sans les quotas de pêche 	proposés	. 
n01109008	Les frais mensuels varieront et le prix devrait 	augmenter	 en hiver, au fur et à mesure que l’usage augmentera. 
n01125030	Bien 	entendu	, la tendance tactile est étroitement liée à notre obsession croissante pour la fabrication d'objets. 
n01128017	Après tout, la performance de l’organisation n’est que rarement mesurée au niveau de la sécurité et le nombre de règles 	suivies	. 
n01129017	Mardi, nous nous concentrerons seulement sur la mobilisation de la population, mais ceci ne servira à rien si les électeurs 	inscrits	 ne figurent pas sur la liste électorale. 
n01141022	Mais les récents efforts pour pénétrer dans le marché de clavardage en ligne pour le monde du travail illustrent une tendance 	généralisée	 chez les entreprises de technologie. 
n01144038	Snowman n'a pas été étonné quand Johnny Carson est allé chercher un escabeau et s’est assis le dos 	tourné	, dit-il. 
w01005020	Mégabaze, le commandant très réputé de Darius, était chargé de peupler les territoires 	conquis	 dans les Balkans. 
w01023074	Des boissons alcoolisées telles que la bière, l'hydromel, la bjórr(un vin fruité assez fort) et, pour les plus riches, du vin 	importé	 étaient consommées. 
w01045005	A 	partir	 du seizième siècle, les Européens de passage dans la région des Caraïbes distinguèrent la « mer du Sud » (l'océan Pacifique, jusqu'au sud de l'isthme de Panama) et la « mer du Nord » (la mer des Caraïbes, jusqu'au nord du même isthme). 
w01053031	Etant 	donné	 qu'Hérode se trouvait à Jérusalem à ce moment-là, Pilates décida d'y envoyer Jésus pour son jugement. 
w01060039	A l'aide d'une nouvelle technique, Shen déblaya le canal avec succès et put démontrer l'utilité du limon 	amassé	 en tant qu'engrais. 
w01065019	Le rôle exact de ces mégalithes est toujours sujet à controverse, mais ils auraient constitué un « haut-lieu » cananéen à 	partir	 du milieu de l'âge de bronze, autour de 1600 avant J.-C. 
w01066008	Les couleurs propices à chaque jour en Thaïlande sont indiquées sur le tableau des jours de la semaine, suivies par un lien vers l'image de Bouddha 	associée	. 
w01070034	Quatre marques supplémentaires indiquent les déclinaisons minimales et maximales de la pleine lune, autrement 	dit	 en été et en hiver. 
w01079057	Le baptême 	forcé	 était contraire à la loi de l’Église catholique, et en théorie, toute personne qui était baptisée de force pouvait légalement retourner au judaïsme. 
w01091016	Les bananes et les plantains, qui ont d'abord été domestiqués en Asie du Sud-Est, et très probablement en Papouasie-Nouvelle-Guinée, ont été domestiqués en Afrique il y 	a	 peut-être 5 000 ans. 
w01100048	L'île de Hong Kong a été cédée à la Grande-Bretagne, et certains ports, y 	compris	 ceux de Shanghai et Guangzhou, ont été ouverts au commerce et à la résidence britannique. 
w01101046	Les premières inventions de Lamarr comprennent un feu de circulation routière 	amélioré	 et un comprimé qui se dissout dans l'eau pour créer une boisson gazeuse. 
w01146099	Une théologie appropriée devra donc être construite compte 	tenu	 de son objectif. 
n02074009	Le mari de l’actuelle candidate à la Maison Blanche, Hillary Clinton, a gracié, le 20 janvier 2001, le dernier jour de sa présidence, un certain nombre de personnes, y 	compris	 Rich. 
n04006003	À 	partir	 du 1er janvier, il y aura une augmentation de l'essence et du diesel. 
n05002004	Pour la première fois au cours des six dernières années, le taux de chômage a chuté en dessous de 20%, et il y a plus de 600 000 personnes employées par rapport à il y 	a	 un an. 
n05002004	Pour la première fois au cours des six dernières années, le taux de chômage a chuté en dessous de 20%, et il y a plus de 600 000 personnes 	employées	 par rapport à il y a un an. 
n05004025	Et en ce qui 	concerne	 les parties dans quoi, dans les droits historiques ? 
w02011029	Je déclare 	clos	 les premiers Jeux Olympiques internationaux. 
w02015087	Les sœurs religieuses 	déplacées	 furent installées au cloître d’Eibingen. 
w03005016	Il semble qu'à 	partir	 du VIIIe siècle av. J.-C. apparaissent les cités, de petits territoires indépendants et politiquement structurés. 
w04004051	La deuxième région royale des Pouilles et de la Calabre a ensuite été établie, y 	compris	 le Samnium, certaines zones de la région Molise et de la basilique orientale. 
w05001045	Il était de tradition que le thème soit choisi intentionnellement à cause du grand nombre de Juifs 	convertis	 qui habitaient à Palma. 
