sent_id	left_context	pivot	right_context
n01003007	5000 dollars par personne, le maximum 	autorisé	. 
n01004009	Plutôt que d'enseigner la méthode scientifique en tant qu'unité 	séparée	, par exemple, les étudiants apprennent le contenu scientifique en l'appliquant. 
n01005024	« Nous sommes confrontés à une forte concurrence, et nous pensons que les transports pourront aider » a 	déclaré	 Joe Sternlieb, le président du centre des affaires de Georgetown. 
n01005024	« Nous sommes confrontés à une forte concurrence, et nous pensons que les transports pourront 	aider	 » a déclaré Joe Sternlieb, le président du centre des affaires de Georgetown. 
n01005024	« Nous sommes confrontés à une forte concurrence, et nous pensons que les transports 	pourront	 aider » a déclaré Joe Sternlieb, le président du centre des affaires de Georgetown. 
n01005024	« Nous sommes confrontés à une forte concurrence, et nous 	pensons	 que les transports pourront aider » a déclaré Joe Sternlieb, le président du centre des affaires de Georgetown. 
n01005031	L'étude de faisabilité 	estime	 qu'il faudrait environ quatre minutes aux passagers pour traverser le Potomac en gondole. 
n01007012	On 	peut	 établir des parallèles entre les jeux et nos vies de tous les jours. 
n01009054	« Nous avons demandé à d'autres pays de nous aider à remplir le zoo de différentes espèces d'animaux, y compris d'un porc » a 	indiqué	 Saqib. 
n01009054	« Nous avons demandé à d'autres pays de nous aider à remplir le zoo de différentes espèces d'animaux, y 	compris	 d'un porc » a indiqué Saqib. 
n01010042	M. Panvalkar a dit qu'à un moment donné, il a senti qu'ils 	devraient	 quitter l'immeuble. 
n01010042	M. Panvalkar a dit qu'à un moment 	donné	, il a senti qu'ils devraient quitter l'immeuble. 
n01010042	M. Panvalkar a 	dit	 qu'à un moment donné, il a senti qu'ils devraient quitter l'immeuble. 
n01011011	La police a indiqué qu'elle avait tué Andre Price III en lui enfonçant le visage dans un matelas pneumatique situé dans sa salle de séjour avant de 	tenter	 de faire la même chose à sa fille, Angel. 
n01011011	La police a 	indiqué	 qu'elle avait tué Andre Price III en lui enfonçant le visage dans un matelas pneumatique situé dans sa salle de séjour avant de tenter de faire la même chose à sa fille, Angel. 
n01011017	De toute façon, je vais en prison, j'	espère	 que ça en valait la peine. 
n01012003	D'abord, l'une des femmes Yazidi commença à 	pleurer	, puis l'une de ses amies. 
n01012003	D'abord, l'une des femmes Yazidi 	commença	 à pleurer, puis l'une de ses amies. 
n01013005	M. Osborne s'est inscrit à une agence de conférenciers après s'être fait 	virer	 en juillet. 
n01014003	Michael Fallon a annoncé que la date de commencement des travaux 	aiderait	 à obtenir de nouveaux investissements et à garantir des centaines d'emplois qualifiés jusqu'en 2035. 
n01014003	Michael Fallon a 	annoncé	 que la date de commencement des travaux aiderait à obtenir de nouveaux investissements et à garantir des centaines d'emplois qualifiés jusqu'en 2035. 
n01014012	La promesse de nouvelles commandes de la Marine Royale britannique 	destinées	 à protéger l'industrie de la construction navale de la Clyde a été faite avant le référendum sur l'indépendance de l'Écosse de 2014. 
n01016014	La compagnie sud-coréenne a d'abord 	pensé	 que le défaut venait d'une batterie, et avait remplacé son propre matériel par la batterie d'un sous-traitant. 
n01016019	Plusieurs analystes ont suggéré que Huawei est le mieux 	placé	 pour profiter du recul de Samsung. 
n01016019	Plusieurs analystes ont 	suggéré	 que Huawei est le mieux placé pour profiter du recul de Samsung. 
n01017005	Mais un expert des transports a 	averti	 que l'accès à Internet en vol était souvent peu fiable et n'influençait propablement pas les voyageurs lors du choix de la compagnie aérienne. 
n01017008	Mais il semble que BA and IAG ont trouvé la solution et 	peuvent	 proposer quelque chose de vaguement fiable. 
n01017008	Mais il 	semble	 que BA and IAG ont trouvé la solution et peuvent proposer quelque chose de vaguement fiable. 
n01020021	Et, avec la Chine en voie de 	devenir	 le plus grand marché aéronautique dans la prochaine décennie, le salon est une opportunité pour Pékin de manifester ses ambitions dans le domaine de l'aviation civile et militaire. 
n01021007	Malheureusement, une fois de plus, une minorité gâche tout pour une majorité, 	écrit	 Jesse LaBrocca, fondateur de Hack Forums, dans son message justifiant la fermeture de la section. 
n01021012	L'analyse a révélé qu'une quantité historique de données a été 	employée	 pour causer le bouleversement. 
n01021012	L'analyse a 	révélé	 qu'une quantité historique de données a été employée pour causer le bouleversement. 
n01022002	Une étude des plans nationaux visant à réduire les émissions de carbone, conduite par l'ONU, montre qu'ils 	sont	 loin d'avoir les niveaux requis pour contenir l'augmentation des températures sous le seuil de 2° C. 
n01022002	Une étude des plans nationaux visant à réduire les émissions de carbone, conduite par l'ONU, 	montre	 qu'ils sont loin d'avoir les niveaux requis pour contenir l'augmentation des températures sous le seuil de 2° C. 
n01022002	Une étude des plans nationaux 	visant	 à réduire les émissions de carbone, conduite par l'ONU, montre qu'ils sont loin d'avoir les niveaux requis pour contenir l'augmentation des températures sous le seuil de 2° C. 
