sent_id,left_context,pivot,right_context
n01002032,"« Alors, je suis désolé de vous ",mettre," la pression, mais l'avenir de la république repose sur vos épaules, » dit-il à la foule rassemblée sur un terrain de sport de l'Université de la Caroline du Nord. "
n01011011,La police a indiqué qu'elle avait tué Andre Price III en lui ,enfonçant," le visage dans un matelas pneumatique situé dans sa salle de séjour avant de tenter de faire la même chose à sa fille, Angel. "
n01011017,"De toute façon, je vais en prison, j'espère que ça en ",valait, la peine. 
n01027041,Je lui ai ,demandé,", après coup, si elle comprenait pourquoi les gens pourraient voter pour Trump. "
n01038025,Il pourrait également attendre la fin de son premier mandat pour invoquer une disposition de l'Accord de Paris pour pouvoir s'en ,retirer,. 
n01063048,"Mais ces défis, et les chansons qui en sont ",faites,", rajoutent un système nerveux conjonctif et tangible à la masse vibrante de vidéos de mauvaise qualité. "
n01068038,Son habilité à trouver des solutions pour les contribuables nous ,manquera, énormément. 
n01090037,"Je m’amuse à jongler avec l’idée et je cherche toujours des muses qui conviendraient, car lorsque j'en ",trouve,", la création d’une collection m’intéresse beaucoup. "
n01095004,"De notre temps, il n’y en ",avait," aucun, et les gens sans enfants manifestaient leur propre désapprobation et, par conséquence, leur haine, des parents modernes. "
n01097041,J’en ai ,aperçu,. 
n01105023,Je me ,demande, également si la Coupe Davis a joué un rôle. 
n01120010,"L’histoire de Doss est quelque peu improbable, ce qui lui ",confère, un aspect d’autant plus irrésistible. 
n01130025,"Donald Trump est un homme arrogant et pompeux, avec une attitude indiquant que tout lui est ",dû, ; son tempérament est néfaste aux États-Unis. 
n01134007,Les investisseurs commencent à manquer d’obligations gouvernementales ; ce sont les obligations américaines et australiennes qui en ,ressentent, le plus fortement l’impact. 
n01138007,On lui a ,conféré, quelques droits car il est un des hommes très haut placés de Negan (Jeffery Dean Morgan). 
n01144021,Snowman sauterait au-dessus de la haute clôture qui séparait les deux propriétés et retournerait là où il se ,trouvait, vraiment chez lui. 
n01145008,Il n’y a pas de défilé et il n’y en a ,eu, aucun. 
w01017004,"Formée par des forces tectoniques planétaires qui ont créé le rift est-africain, l'Afrique de l'Est est l'endroit où se ",trouvent," le Kilimandjaro et le mont Kenya, deux des plus grands pics d'Afrique. "
w01047071,"Elle profita également des ses relations avec des scientifiques du gouvernement, qui lui ",fournissaient, des informations confidentielles. 
w01050068,"Toutefois, la nouvelle République de Chine considérait le territoire mongole comme lui ",appartenant,. 
w01063048,Les dieux représentaient distinctement les besoins pratiques de la vie quotidienne ; on leur ,accordait, scrupuleusement les rites et les offrandes appropriés. 
w01073042,"A cette époque-là, Kipling rencontra également Florence Garrard, dont il tomba amoureux, qui vivait avec Trix à Southsea (où cette dernière était ",revenue,). 
w01075038,"L'étude a interprété ces trois facteurs comme intermédiaires du revenu à gagner à travers une rébellion, et en a ",conclu,", par conséquent, qu'un salaire bas encourageait la rébellion. "
w01101084,On lui a ,proposé," plusieurs scénarios, des publicités télévisées, des projets de scène, mais rien ne l’a intéressé. "
w01105055,"En utilisant l'antenne dipôle d'Alvarez pour obtenir une résolution angulaire très élevée, le système GCA permet aux opérateurs radar de regarder des écrans spéciaux qui leur ",donnent, des précisions et de guider un avion vers la piste d'atterrissage en transmettant des commandes verbales au pilote. 
w01116100,"Certains érudits chrétiens critiquent les enseignements d’Eckhart Tolle, tandis que d'autres en ",font, l'éloge. 
w01140031,"Une fois que Hans Pettersson a pu obtenir des fonds pour payer les dépenses d’Elizabeth Rona, Joliot-Curie lui a ",donné, l’accord pour venir étudier la séparation du polonium à l'Institut Curie à Paris 
w01148068,"Cette fois, le message lui est ",parvenu,", mais il refusa de croire qu'elle ne voulait plus se marier avec lui. "
n02058056,Les officiers m’ont ,demandé,", avec cette stupidité incomparable qui les caractérise, si je connaissais l’écrivain Günter de Bruyn et si nous étions des parents intellectuels. "
n04006014,Les derniers chiffres se rapportent au 24 octobre de l'année dernière et nous ,disent," que notre gazole coûte 1,335 euros par litre, comparé à la moyenne de la zone euro de 1,165 euros. "
n04007002,Corrado Passera retire l'offre pour les députés en raison de « l'attitude de fermeture complète que la banque nous a ,montré, ». 
n05003006,Le ministre de la Défense lui a ,permis, de rester Secrétaire général du Parti pour le moment. 
n05003019,"Malgré eux, tout le monde dans le parti n'a pas compris les messages que le président a essayé de leur ",envoyer, hier. 
w02016015,"Suite à ces succès, il signe un contrat avec Team Telecom, rejoint son amie à Merdigen (Südbaden), où il ",réside, jusqu’en 2002. 
w02018030,"Weiss fut honoré par les villes de Cologne et de Brême, qui lui avaient ",décerné, leurs prix littéraires. 
w03010098,"Au printemps 1948, l'artiste belge qui rêve d'adapter Tintin au cinéma envoie une lettre à Walt Disney pour lui ",demander," son appui, en vain. "
w04009042,L'homme lui ,expliqua," qu’une guerre entre les deux univers est à venir, comme il l’avait prédit avec Walter ; c’est pour cette raison qu’Olivia, entre autres, a été formée comme un enfant. "
w05010026,"Cependant, quand le Sénat lui répondit définitivement en l'empêchant de participer à la consolation et de lui ",donner," la possibilité de retirer ses troupes ou de devenir un ennemi public, il comprit que, quelle que soit l'alternative qu'il choisirait, il se livrerait sans armes aux mains de ses ennemis politiques. "
w05010026,"Cependant, quand le Sénat lui ",répondit," définitivement en l'empêchant de participer à la consolation et de lui donner la possibilité de retirer ses troupes ou de devenir un ennemi public, il comprit que, quelle que soit l'alternative qu'il choisirait, il se livrerait sans armes aux mains de ses ennemis politiques. "
